participant,sentence
INV,there's a whole: box full of toys in here .
INV,le(t)'s look at these toys .
INV,oh: what &+ɨ [//] aw: <&+ʌ> [>] +/.
CHI,<Thomas> [<] !
INV,Thomas !
INV,"you know Thomas, don't you ."
INV,how do you know Thomas ?
INV,what's happening to this guy ?
INV,you wanna [/] (.) you wanna pull Thomas on the floor ?
INV,here .
INV,do you watch Thomas on TV ?
CHI,<&+n tam@u tɨbi@u> [= echoing approximation of (watch Thom(as) TV)] ?
INV,yeah ?
INV,you wanna read this book ?
INV,it's a pretty good book .
INV,wanna sit with me an(d) [//] (le)t's look at this book .
INV,come on .
INV,have a seat .
CHI,<ʌ@u dɨ@u dɨ@u> [=? an approximation of (I go see)] Mom .
INV,well (.) why don'(t) we play with these toys ?
INV,do you wanna look at this guy ?
INV,wha(t) do we have in here .
CHI,ooh (.) ho@u me ho@u .
CHI,der@u [=? there] I see a ho:@u .
INV,oh wa(nt) me to help you get this guy out ?
CHI,aiʔ@u [: guy] out ?
INV,can I help ?
CHI,&+k guy ho@u [=? help] .
INV,<oh: this out> [?] .
INV,there .
INV,maybe he fits in the school bus .
CHI,&+æ (.) <hai@u u@u kwe@u> [?] (.) hai:@u [: hey] tek@u [: take] ə@u [: it] out .
CHI,yeah .
INV,you gonna get (h)im out ?
CHI,<bɛn@u tɨndə@u an@u> [?] .
CHI,firetruck ?
INV,that's a firetruck .
INV,it fights fires .
CHI,<mo@u kɨn@u mʌm@u> [?] .
INV,what other kin(d) of books are there ?
INV,<xxx> [>] .
CHI,<the fire:truck> [<] !
INV,you like that truck ?
INV,find the truck ?
INV,how (a)bout this ?
INV,who's this guy ?
INV,who's this ?
CHI,a bɔi@u [=? bee] .
INV,it's a bee .
INV,zzzz@o .
CHI,a [//] (.) i(t)'s a bordʒai@u [=? bird xxx] .
INV,it's a bird: ?
INV,how about these tools: in here .
INV,do you wanna play with these tools ?
CHI,a choo choo train .
INV,(th)at's a choo choo train .
INV,oh those aren't for now .
CHI,for now: for <now> [>] .
INV,no [/] no [/] no they're not .
INV,they're for later .
INV,they're for later .
INV,what else [!] is in here ?
INV,wanna play with these tools: you wanna put on this hat ?
CHI,a bird æə@u [: a] bee .
INV,ca(n) we (..) fix something ?
INV,wha(t)'s this ?
CHI,tʌ@u [=? to] (.) cut .
INV,it cut .
INV,it cuts .
INV,how (a)bout this ?
INV,what is this ?
CHI,cut .
INV,that also cuts .
INV,that's a saw .
INV,wanna fix something ?
CHI,ɛ@u [=? assenting] .
INV,what can you fix ?
INV,you wanna fix this truck ?
INV,look here are some more tools .
INV,what's this ?
CHI,xxx .
INV,(tha)t's a house .
INV,what's inside ?
INV,<it's a fi@u [?]> [>] .
CHI,<xxx>[<] .
INV,can you put these pieces in ?
CHI,xxx [= prosodically parallel to (pieces) but mouth closed] .
INV,"those wheels move, don't they ?"
CHI,tɛpəd@u [?] .
INV,here look at this .
INV,you wanna look at this man ?
CHI,me:n@u [: man] .
INV,look at this man (.) he unscrews .
CHI,xxx key .
INV,but can you get that key out ?
CHI,get that key out .
INV,you wanna put it back in ?
INV,think you wanna put it back in before you close the door .
INV,try to turn it this way .
INV,put it in this way .
INV,there you go .
INV,you did good at closing that door .
INV,<here look> [>] .
CHI,<xxx> [<] <Mommy go see> [>] [/] go see Mommy !
INV,<let's stay in here> [<] .
CHI,go see Mommy .
INV,okay .
INV,okay .
INV,okay ?
INV,how's (th)at ?
INV,you wanna <play in> [?] ?
CHI,&+t agabə@u [: x@n] .
CHI,&+g: <&+g> [>] .
INV,wha(t) do you want me to do ?
CHI,<I got to> [?] .
INV,wa(nt) me to turn this off ?
CHI,tur(n) off (th)e light .
CHI,thank you .
INV,turned it off thank you .
INV,you're welcome .
INV,can I turn it back on ?
CHI,tɨkʌ@u [= approximating (turn it)] ʌ@u [?] back on .
CHI,&-uh &-uh .
INV,there: .
INV,ə@u [= ambiguous pronoun] turned the light back on .
CHI,xxx the gən@u [?] run@u [: room] !
INV,you wanna go in that room ?
CHI,gunɨdə@u [=? go in there] .
CHI,<I wan(na)> [?] go in .
INV,you want me to go in this room ?
CHI,thank you .
INV,can you turn it back on ?
INV,what's that ?
INV,what's [?] this ?
CHI,I gonna (.) tu(r)n it on .
CHI,<light on> [>] .
INV,<you're gonna> [<] turn the light off again ?
CHI,<bʌ@u ʌ@u na@u gʌŋ@u> [=? but I'm not gon(na)] (.) <a:@u da@u du@u> [?] .
CHI,kozədo@u [: close the door ] .
CHI,tʌlaibakan@u [: turn light back on] .
INV,close the door (..) turn the light off .
INV,&=laughs æ@u [?] pretty <cool> [>] .
CHI,<da@u> [?] [<] (.) light a@u [=? off] .
INV,&=laughs pretty <cool> [>] .
CHI,<pretty> [>] .
INV,<wanna do it> [<] again ?
CHI,yeah a <de@u dau@u> [=? light out] ?
INV,&=laughs .
INV,"that's a bright <light, huh> [>] ?"
CHI,<&+o [/] open> [<] door ?
INV,open the door .
CHI,xxx [=? turn the light off] .
INV,turn the light off ?
CHI,<nə@u gəd:@u mi@u> [?] .
INV,we're gonna stay in here .
CHI,<tak@u tɨkə@u tikətu@u> [?] .
CHI,<tiku@u ti@u tu@u tu@u tu@u tu@u ti@u> [?] .
INV,take the choo choo train ?
CHI,choo choo <ja:@u kɤ@u> [?] (t)rain .
INV,well we gotta stay in here .
CHI,<hai@u jɤ@u fai@u> [?] .
INV,we're gonna stay in here with this .
CHI,<w:@u Ma:> [>] (.) Mom:my .
INV,<this [/] these toys have> [<] to stay in here .
CHI,Mommy (.) Mommy .
INV,hey look: <let's have a seat> [>] .
CHI,<Mom Mom> [<] <Mom Mom Mom:my> [>] .
INV,<let's play with these trains> [<] .
INV,with these toys .
CHI,g@u [=? go] <Mommy> [>] .
INV,<let's move> [<] these on the ground .
INV,you have to keep these <in here> [>] .
CHI,<go Mo:mmy> [<] Mommy !
CHI,Mommy !
INV,here .
INV,let's +...
CHI,Mommy !
INV,let's xxx .
INV,"you like that, huh ?"
CHI,hm dais@u [=? nice] (.) <cʌm@u pe@u tɨp@u> [=? come play xxx] .
CHI,&=sings Mommy ?
INV,let's see what we can do with these crayons .
CHI,bye .
INV,wanna have a seat here ?
CHI,bye bye .
INV,sure: are <you thirsty> [>] ?
CHI,<apple juice> [<] .
INV,yeah: let's get some apple juice .
CHI,judə@u [: juice] ?
INV,lemme get some juice for you .
INV,why (d)on't you have a seat here ?
CHI,na@b [x 7] .
INV,how (b)out some grape juice ?
INV,you have a seat here .
CHI,krep@u [: grape] .
INV,you have a seat here in this seat .
INV,an(d) I'll open it <for you> [?] .
INV,okay ?
INV,oops .
CHI,I <wʌn@u bi@u> [=? wan(t) be] (.) a <going out> [?] .
INV,here here .
INV,let me get you <something to drink> [>] .
CHI,wʌn@u [: wan(t)] go kʌsi@u [: go see] Mommy !
INV,lemme get you something <to drink> [>] .
CHI,<kʌm::si@u> [=? come see] [<] .
INV,have a seat in that yellow chair .
INV,that's your chair .
CHI,lʌbju@u [=? love you] .
CHI,xxx orts@u [?] (.) chair !
CHI,or:s@u [?] chair ?
