participant,sentence
MOT,"oh , here ."
MOT,I can't get this undone .
MOT,why don't we leave it on ?
CHI,it can't come off .
MOT,look at this .
MOT,what was this ?
MOT,"Ben made this yesterday , I think , didn't he ?"
MOT,what's this ?
CHI,a house .
MOT,part of a house ?
MOT,"oh , ."
CHI,it can't come off .
MOT,no .
MOT,we can leave that on .
MOT,that one's okay .
MOT,"Rick , who's this ?"
CHI,giraffe .
MOT,giraffe .
MOT,he's got you on the neck .
MOT,what if he goes in your ear ?
CHI,a giraffe hurts .
MOT,does he hurt you ?
MOT,"oh , ."
MOT,what if he gives you a kiss ?
CHI,a pick a mess .
MOT,"yeah , this is a mess , Rick ."
CHI,Leggo can't come off .
MOT,"&mm [/?] well , Rick look ."
MOT,wanna build a car ?
CHI,no .
MOT,what can we put on this ?
MOT,look .
MOT,look at this .
CHI,no .
MOT,what do you wanna make ?
CHI,I put make a mess .
MOT,you're <picking the> [/?] putting it away ?
MOT,alright .
CHI,put xxx in there .
MOT,alright .
MOT,"nice picking up , Rick ."
MOT,"what's that , Rick ?"
CHI,a house .
MOT,part of a house ?
CHI,it can't come off .
MOT,"what , Rick ?"
CHI,it can't come off .
MOT,it can't come off ?
MOT,"oh , I guess it's all one piece ."
MOT,"these little red ones , huh [/?] ?"
MOT,"yeah , these little red ones are all one piece on here , Rick ."
CHI,<it it> [/?] it's take apart .
MOT,okay .
MOT,oop [/?] what happened ?
CHI,crash .
MOT,they all fell down .
MOT,"Rick , come here ."
MOT,no touching .
CHI,say don't touch it Bert .
MOT,"did you tell Bert , don't touch the camera ?"
CHI,yes .
CHI,I get Gonzo .
MOT,"alright , get Gonzo ."
CHI,I wanna shut the door .
MOT,"thank you , Rick ."
CHI,this is a zipper .
MOT,yeah .
CHI,I picked up piece .
MOT,no touching .
MOT,good boy .
CHI,I move this book .
MOT,"okay , thank you ."
MOT,"ah [/?] Rick , let's make some supper ."
MOT,you wanna make some supper ?
CHI,<with with> [/?] with the Potato_Heads ?
MOT,yeah ?
MOT,"Rick , look ."
MOT,do you wanna make supper or play with Potato_Heads ?
CHI,Potato_Heads .
MOT,okay .
CHI,xxx .
MOT,come here .
MOT,what are we gonna do ?
CHI,get Miss_Potato_heads .
CHI,don't bring Miss_Potato_heads outsides .
MOT,"no , we can't bring her outside ."
MOT,she'll get lost .
MOT,"what's this , Rick ?"
CHI,potatos .
MOT,big [/?] big eye on the side of your house here .
CHI,and this is a brown shoes .
MOT,"yep , there they are ."
MOT,who's this ?
CHI,Potato_Head .
MOT,little Potato_Head .
CHI,I pull Miss_Potato_head's hair .
MOT,"oh , she doesn't have any hair ."
CHI,oops [/?] .
MOT,I think she's bald .
CHI,Miss_Potato umbrella can't come off .
MOT,"no , her umbrella can't come off , it stays right on there ."
CHI,and she takes xxx xxx .
CHI,don't have an umbrella .
MOT,"no , who's@n has [/?] an umbrella , Rick ?"
CHI,Rick .
MOT,"no , Rick ."
MOT,look at mama .
MOT,<who has> [/?] who's@n has [/?] an umbrella ?
CHI,a girl .
MOT,she's .
MOT,say Potato_Head .
CHI,Potato_Head .
MOT,"okay , good boy ."
MOT,what happened ?
CHI,sleeping there .
MOT,is [/?] he sleeping on the truck ?
MOT,do you need help ?
CHI,yes .
MOT,ask mommy .
CHI,"need some help , please ."
MOT,look at my eyes .
CHI,"I need some help , please ."
MOT,alright .
CHI,ooh [/?] .
MOT,I'll get her out .
CHI,tummy hurts .
MOT,what happened ?
CHI,stomach .
MOT,"Rick , it's stuck in here pretty good ."
CHI,stuck .
MOT,here are some blue shoes .
CHI,xxx .
MOT,who do those belong to ?
MOT,"Rick , look what I got !"
MOT,"oh , !"
MOT,I got her out .
MOT,"look , there she is !"
CHI,no hair .
MOT,"oh , she's got a little bit , right there ."
MOT,doesn't that look funny ?
MOT,"oh , there's a Leggo man in here , too ."
CHI,there's none with hair .
MOT,I'm gonna put him in the wrong one .
MOT,"what are you looking for , Rick ?"
CHI,looking for fire .
MOT,what ?
CHI,where's the fire ?
MOT,a fire what ?
CHI,a hat .
MOT,fire hat ?
MOT,must have fallen in .
MOT,did you find it ?
MOT,want me to help ?
MOT,"okay , let's see ."
MOT,"oh , you got it !"
MOT,"Rick , what color is the hat ?"
CHI,fire .
MOT,what color is the hat ?
CHI,<it's mark> [/?] it's Ben .
