participant,sentence
MOT,what are you playing with roger ?
CHI,I'm playing with [/?] with toys .
MOT,"oh , good ."
CHI,tap the +/.
MOT,and what's this ?
CHI,your table .
MOT,no .
MOT,my table .
CHI,my table .
CHI,where's the table ?
CHI,I don't know where it is .
CHI,xxx found it .
MOT,what do you want ?
CHI,I don't know where it is .
CHI,I don't know where it is now .
MOT,what do you need ?
CHI,I found it .
MOT,"oh , okay ."
CHI,I found it .
MOT,play with the table then .
MOT,sit back .
CHI,I don't know where it is .
CHI,I don't know where it is .
MOT,I don't either .
MOT,what do you want roger ?
CHI,I want play the tables please .
MOT,there's a table .
MOT,right there .
CHI,I want that one .
MOT,and here's a chair .
CHI,chair .
CHI,here .
MOT,"oh , you want mama to find the other table huh [/?] ?"
CHI,find the other .
MOT,we'll see .
MOT,roger what are you doing ?
CHI,I'm playing with toys .
MOT,what's that ?
CHI,<a reg> [/?] a refrigerator .
CHI,a refrigerator .
MOT,roger .
MOT,refrigerator .
CHI,refrigerator .
MOT,where's the chair ?
CHI,I don't know where it is .
MOT,behind you .
CHI,behind you .
MOT,look behind you .
MOT,turn around .
MOT,there it is .
MOT,what are you doing roger ?
CHI,I'm sit your floor .
MOT,"oh , it's time for +/."
CHI,xxx .
MOT,time for supper .
CHI,it's time for supper .
MOT,you gonna make the supper ?
CHI,yes .
MOT,okay .
MOT,what are you making ?
CHI,you making your +/.
MOT,"say , I make pizza ."
CHI,I make pizza .
CHI,<for desin> [/?] for Denise .
MOT,"oh , you make pizza for Denise ?"
CHI,that .
CHI,and here's your car .
MOT,"oh , ."
CHI,for your car .
MOT,going for a ride ?
CHI,we're going for [/?] for +/.
CHI,for your car .
CHI,have car ?
MOT,"roger , what's Helen doing ?"
CHI,I make your pencil .
MOT,no .
MOT,she's writing .
CHI,she's writing .
MOT,Helen's writing .
CHI,Helen's writing .
MOT,right .
CHI,what is this ?
CHI,ooh [/?] what happened ?
CHI,eat your pizza .
MOT,what's she doing ?
MOT,what's she doing ?
CHI,she's eating a hot dog ?
MOT,"oh , &mm [/?] ."
CHI,have mushroom .
MOT,mushrooms ?
MOT,hot dogs and mushrooms ?
MOT,why don't you take the girl and go for a ride ?
CHI,take the girl for +/.
CHI,ooh [/?] .
CHI,baby got booboo .
MOT,roger .
CHI,xxx .
CHI,got booboo .
CHI,he got a booboo .
MOT,"oh , she's all better ."
CHI,he got booboo .
CHI,he +/.
MOT,kiss the booboo .
CHI,he got booboo in the mouth .
MOT,"oh , kiss the booboo ."
MOT,"okay , it's all_gone ."
CHI,got to go to hospital .
MOT,"oh , okay ."
MOT,come back here roger .
MOT,roger come back here .
CHI,stay the kitchen .
CHI,stay in here .
MOT,that's right .
CHI,stay in here .
MOT,that's right .
CHI,stay kitchen .
MOT,"no , come here ."
CHI,stay the picture .
MOT,play with the toys .
MOT,what are you doing roger ?
CHI,I'm playing with cars .
MOT,that's right .
MOT,good boy .
CHI,with mommy's car ?
MOT,is that mommy's car ?
MOT,"no , that's Roger's car ."
CHI,Roger's car .
MOT,come here .
CHI,come here .
MOT,roger sit down and play .
CHI,sit down and play .
CHI,stay in kitchen .
CHI,xxx .
MOT,"roger , do you wanna do a puddle [/?] puzzle ?"
CHI,no .
MOT,you don't ?
CHI,I wanna play [/?] play the toy .
MOT,alright .
MOT,"well , play with the toys then ."
MOT,"but , you needta sit here and play with the toys ."
CHI,you needta sit here .
CHI,sit right down here .
CHI,"oh , shade up ."
CHI,xxx that shade up .
CHI,I have a xxx .
MOT,come here and see Helen .
CHI,come here and see Helen .
CHI,time to do the puzzle .
MOT,"no , <what's Helen> [/?] what's that ?"
CHI,a present !
MOT,that's right .
MOT,sit down and open the present .
CHI,I want need help please .
MOT,"oh , good asking ."
MOT,"okay , you do the rest ."
CHI,"oh , I'll do the Sesame_Street ."
MOT,"oh , I don't know ."
CHI,I do sesame .
CHI,I do Sesame_Street .
CHI,Sesame_Street .
MOT,let me see .
CHI,a sesame street .
MOT,"oh , nice book roger ."
MOT,what do you say to Helen ?
CHI,thank you for book .
MOT,say it to Helen .
MOT,look at Helen .
MOT,"oh , here let's open the book right here ."
MOT,sit here .
MOT,it's a sticker book .
MOT,roger what are you doing ?
CHI,I read a book .
CHI,it's snowing .
MOT,what are they doing ?
CHI,I'm reading the book .
MOT,no .
MOT,what are they doing ?
CHI,I'm doing a big book .
MOT,that's right .
MOT,do you wanna put the stickers on ?
CHI,yes .
CHI,stickers on .
MOT,let's put the stickers on .
MOT,this is a picture .
CHI,picture .
CHI,ow [/?] .
CHI,he playing outside .
MOT,that's right .
MOT,they're playing outside .
MOT,what are they doing outside roger ?
MOT,what's Big_Bird doing ?
CHI,I'm playing outside .
CHI,I'm playing the swing outside .
MOT,that's right .
CHI,you wanna do the sticker ?
MOT,"well , you needta ask me ."
CHI,I want a sticker please .
MOT,okay .
MOT,I think you needta cut it out roger .
MOT,let [/?] let mama see .
CHI,let +/.
CHI,don't touch roger .
CHI,not in mouth .
MOT,you needta lick it .
CHI,lick it .
MOT,put the picture right there .
MOT,roger .
MOT,take the sticker .
MOT,put it right there .
CHI,right here .
MOT,press it .
MOT,good job .
CHI,nice doing easy .
MOT,that's right .
MOT,you did it easy .
MOT,what's this ?
MOT,roger look .
MOT,what's this ?
CHI,a milk .
MOT,no .
CHI,a pa [/?] paint .
MOT,that's right .
MOT,what's this ?
MOT,ask me .
CHI,a fish .
CHI,"oh , no ."
CHI,I wanna need help .
CHI,wanna see the book ?
MOT,nice book .
CHI,look_it .
MOT,let's turn the page .
CHI,turn a page .
CHI,"turn say [/?] say mamma , turn the page ."
CHI,that's right .
CHI,turn a page .
CHI,I playing the house .
MOT,roger ?
CHI,huh [/?] ?
MOT,roger look .
CHI,a flower .
MOT,"no , you needta ask ."
CHI,a bug .
MOT,no .
MOT,ask me .
MOT,"say , what's that ?"
CHI,what's that ?
MOT,that's a plant .
MOT,what's she doing ?
CHI,a ride a bicycle .
MOT,that's right .
MOT,you_all done the book roger ?
MOT,you wanna play with the cards ?
CHI,yeah .
MOT,let's play with the cards .
CHI,"yeah , play the cards ."
MOT,here you go .
CHI,here +/.
CHI,play [/?] want play the cards ?
MOT,"roger , do you wanna play with the cards ?"
CHI,yes .
CHI,do it quietly .
CHI,xxx .
MOT,okay .
CHI,see easter .
MOT,that's right .
MOT,put them down .
CHI,put your thumb in the mouth .
CHI,<you going> [/?] you going in .
MOT,"roger , who's this ?"
CHI,no going the driveway .
MOT,look at me .
MOT,who's this ?
CHI,a [/?] a mom .
MOT,no .
MOT,roger ask me .
MOT,"say , it's a girl ."
CHI,it's the girl .
MOT,and who's this ?
CHI,it's the girl .
MOT,no .
MOT,that's wrong .
MOT,who's that ?
CHI,it's the girl .
MOT,it's a boy .
MOT,who's that ?
CHI,it's the boy .
MOT,that's right .
MOT,"roger , are you a boy ?"
CHI,yes .
MOT,that's right .
CHI,it's bus .
MOT,roger come here .
CHI,no .
MOT,"roger , look ."
MOT,ask me .
CHI,a shopping car .
MOT,"no , that's wrong ."
MOT,you needta ask .
MOT,look .
CHI,a xxx .
MOT,no ask me .
MOT,"say , what's that ?"
MOT,roger look .
CHI,a [/?] +/.
MOT,"no , you ask me ."
CHI,a shop .
MOT,"say , mama what's that ?"
CHI,<a sho> [/?] a [/?] what's that ?
MOT,that's good asking .
MOT,it's a carriage .
CHI,carriage .
MOT,baby carriage .
CHI,baby carriage .
MOT,that's right .
MOT,what's that ?
CHI,a carriage .
CHI,baby carriage .
MOT,that's right .
CHI,"oh , ."
MOT,"roger , what's this ?"
CHI,a [/?] +/.
MOT,what's this ?
CHI,a [/?] +/.
MOT,say +/.
CHI,I don't know .
MOT,that's right .
MOT,ask me .
MOT,look .
CHI,what's that ?
MOT,it's a jumprope .
CHI,jumprope .
MOT,right .
MOT,"roger , what's that ?"
CHI,a jumprope .
MOT,good .
MOT,do you wanna play with the cards ?
CHI,yes .
MOT,line them up .
CHI,line them up .
CHI,can I flip [/?] play cards ?
CHI,shop .
MOT,what are you doing roger ?
CHI,I'm playing with cards .
MOT,good boy .
MOT,for [/?] wanna play the cards ?
MOT,okay .
MOT,you do it .
CHI,you do it .
MOT,you do it .
CHI,you do it .
CHI,you do it .
MOT,roger count the cards .
