participant,sentence
MOT,does the big one have any lights on it yet ?
CHI,no .
CHI,yeah [/?] yeah .
MOT,the big one has lights on it ?
CHI,no .
CHI,yeah .
MOT,where are the big one's lights ?
CHI,gone .
MOT,"no , where are the lights ?"
CHI,in the +/.
MOT,in the +/.
CHI,in the garage .
MOT,"no , the lights aren't in the garage ."
CHI,the dining room .
MOT,"in the dining room , yeah , and in a big +/."
CHI,doo [/?] .
MOT,baa [/?] +/.
CHI,boo [/?] .
CHI,big box .
MOT,"yeah , big box , that's right ."
MOT,and when are we going to put the lights on the tree ?
MOT,when ?
CHI,on friday .
MOT,"yep , friday but what [/?] what time on friday ?"
CHI,xxx three o'clock .
MOT,"well , probably a little later when daddy gets home ."
MOT,okay ?
CHI,yeah .
MOT,when daddy gets home around suppertime we're going to decorate the tree .
CHI,sure .
MOT,what do you wanna put on the christmas tree ?
MOT,Mark ?
MOT,what are we going to put on the christmas tree ?
MOT,are we going to put snow ?
CHI,yeah .
CHI,no .
MOT,"no , what are we going to put on the christmas tree ?"
CHI,drum .
MOT,"a drum , what else ?"
CHI,star .
MOT,"stars , yep ."
MOT,full sentences .
CHI,xxx .
MOT,what else ?
MOT,what do we put on first ?
MOT,do we put on flowers first ?
CHI,yep .
CHI,no .
MOT,no .
MOT,what do we put on first ?
CHI,deer .
CHI,reindeer .
MOT,"no , you know what we put on first ."
MOT,the la [/?] +/.
CHI,the lights .
MOT,"the lights , that's right ."
MOT,what color are the lights ?
CHI,"red and yellow , green , orange ."
MOT,that's right .
MOT,what color do you like ?
MOT,what's your favorite color ?
MOT,is your favorite color brown ?
CHI,no .
MOT,"no , what's your favorite color ?"
MOT,what's your favorite christmas color ?
MOT,can you look at me when we're talking ?
MOT,instead of the camera over there .
CHI,<orange light> [/?] orange light .
MOT,"that has orange lights , yeah ."
MOT,what light do you like best ?
MOT,what color do you like best ?
CHI,da [/?] .
MOT,what color +/.
MOT,look at me when we're talking .
MOT,what color do you like best ?
CHI,red .
MOT,"red , you like the red christmas lights ."
MOT,do we put lights in the window ?
CHI,yeah .
MOT,can you give me a full sentence ?
CHI,yeah .
MOT,what color ?
CHI,white .
MOT,yeah .
CHI,gotta white light .
MOT,"white lights , yes ."
MOT,where do we put the white lights ?
CHI,touch it +/.
MOT,we don't wanna touch what ?
CHI,little tree .
MOT,"yeah , the little christmas tree ."
MOT,when did we put up the little christmas tree ?
CHI,on December .
MOT,December what ?
CHI,third .
MOT,when did we put that little tree up ?
CHI,in the attic .
MOT,"it was in the attic , yes , we took it down from the attic +/."
CHI,don't touch .
MOT,that's right .
MOT,but where [/?] when did we put it in [/?] in the family room ?
CHI,big tree .
MOT,when did we put ?
MOT,did we put in in may ?
CHI,no .
MOT,no .
MOT,did we put it in last week ?
CHI,yes .
CHI,yes .
MOT,last week ?
CHI,yesterday .
CHI,yes .
MOT,"yesterday , yes ."
MOT,yesterday we put the little tree up .
MOT,who decorated the little tree ?
CHI,light .
MOT,who put the lights and the decorations on the little tree ?
CHI,yes .
MOT,who did it ?
CHI,Mark .
MOT,no .
MOT,you weren't home .
CHI,mommy .
MOT,no .
CHI,Timmy .
MOT,Timmy and +/.
CHI,Kristin .
MOT,"and Kristin , yes ."
MOT,they decorated the little tree .
MOT,"I was with you , that's right ."
MOT,what else are we gonna put up for christmas ?
MOT,what else ?
MOT,hm: [/?] ?
MOT,what else are we gonna put up ?
MOT,are we gonna put up easter bunnies ?
CHI,no .
MOT,no ?
MOT,what are we gonna put up ?
MOT,what's in the dining room ?
MOT,what decorations are in the dining room ?
CHI,&-um [/?] light .
MOT,lights .
MOT,what else ?
CHI,the ones you gotta put it on .
MOT,turn on what ?
CHI,turn light on .
MOT,"we'll turn the lights on , yes ."
CHI,yeah .
MOT,but what else is in the dining room ?
MOT,what christmas stuff is in the dining room ?
MOT,you're really looking at that tree .
MOT,what +/.
MOT,that's +/.
MOT,okay .
MOT,"&-um [/?] what christmas decorations are in the dining room , Mark ?"
CHI,ornament .
MOT,what ornaments ?
MOT,what's hung up in the dining room ?
MOT,what did we buy in Florida that we hung up ?
CHI,tree .
MOT,no .
CHI,picture .
CHI,Baby_Jesus .
MOT,yeah .
MOT,"we didn't buy that in Florida , but we put Baby_Jesus <in the living> [/?] in the dining room , yes ."
CHI,buy picture .
MOT,yeah .
MOT,but what else did we buy in Florida ?
CHI,christmas tree .
MOT,no .
MOT,we saw the big christmas tree in Florida .
CHI,buy .
MOT,what did we buy ?
MOT,at the pinata store .
MOT,what kind of pinata did we buy ?
CHI,lion .
MOT,that's for you .
MOT,what did we put in the dining room ?
MOT,what pinata did we put in the dining room ?
CHI,Santa_Claus .
MOT,yeah .
MOT,that's hanging up in the dining room .
CHI,don't touch tree .
MOT,yeah .
MOT,"you like that tree , don't you ?"
MOT,what do you want for christmas ?
MOT,"Mark , what do you want for christmas ?"
MOT,you want easter eggs for christmas ?
CHI,no .
MOT,do you want valentines for christmas ?
CHI,no .
MOT,what do you want ?
CHI,toy .
MOT,what kind of toys ?
CHI,Sesame_Street block .
MOT,Sesame_Street blocks .
CHI,all Sesame_Street block .
MOT,all Sesame_Street blocks .
MOT,okay .
MOT,what else do you want ?
MOT,Mark ?
MOT,do you want any valentines ?
CHI,no .
MOT,no ?
MOT,you want any flowers ?
CHI,no .
MOT,no ?
MOT,what do you want ?
CHI,want taperecorder .
MOT,you want a taperecorder ?
CHI,yeah .
MOT,yeah .
MOT,what are you gonna listen to on your taperecorder ?
CHI,one xxx .
CHI,Green_Eggs_And_Ham .
MOT,Green_Eggs_And_Ham .
MOT,okay .
CHI,xxx .
MOT,"and one , yeah ."
CHI,old broke .
MOT,yes .
MOT,the old one is broke .
