participant,sentence
MOT,hm: [/?] ?
CHI,xxx .
CHI,"<a Potato_Head , hear it> [/?] ."
CHI,"a Potato_Head , hear it ."
MOT,"oh , is he +/."
MOT,"no , Potato_Head hasta talk into that , Rick ."
MOT,make him talk .
CHI,record .
MOT,can you make him talk ?
CHI,<kitty kitty kitty> [/?] kitty .
MOT,"Rick , what do you call that ?"
CHI,a microphone .
MOT,good boy .
CHI,xxx you my buddy .
MOT,can buddy talk ?
CHI,crud .
MOT,okay .
MOT,put it down .
MOT,"okay , Rick , look at mama ."
MOT,"oh , no , you needta put this down Rick ."
MOT,"over here , okay ?"
MOT,"Rick , let's make Potato_Head ."
MOT,let's put the pi(eces) +/.
MOT,"look_it , here's all the pieces ."
MOT,what do you wanna do ?
MOT,do you wanna draw a picture ?
CHI,xxx time outs [: out] [*] .
MOT,time out .
MOT,like you charts at school .
CHI,xxx .
MOT,okay .
MOT,what are you making ?
MOT,what's that ?
CHI,make a chart .
MOT,charts ?
MOT,where do you do charts Rick ?
CHI,one at a time .
MOT,hm: [/?] ?
CHI,time .
MOT,"where do you do charts , Rick ?"
CHI,put a time out .
MOT,you get those at school ?
MOT,charts at school ?
MOT,hm: [/?] ?
MOT,"Rick , sit up while you're doing them ."
MOT,sit up nicely .
MOT,"okay , you make a chart then we're gonna make another picture ."
MOT,what do you get time out for Rick ?
CHI,at school .
MOT,at school ?
MOT,"look , Rick +/."
MOT,sit up like this .
MOT,like an indian .
CHI,get down .
MOT,"Rick , xxx draw a house ."
CHI,want down xxx .
MOT,let's do a house .
CHI,I turn around .
CHI,turn around .
MOT,"what are those , xxx xxx xxx ?"
MOT,"that means you were good , huh [/?] ?"
CHI,I got time out .
MOT,did you get a time out from Miss_Shacka ?
CHI,yes .
MOT,what did you do ?
CHI,I xxx .
MOT,huh [/?] ?
CHI,hm: [/?] ?
MOT,what did you do to get time out ?
CHI,yes .
MOT,were you a bad boy ?
CHI,yes .
MOT,uhoh [/?] .
CHI,uhoh [/?] .
MOT,"Rick , look at mommy ."
MOT,mommy's gonna make a face .
CHI,"<oooh , oooh> [/?] ."
MOT,can you make some eyes ?
CHI,"<ooh , ooh> [/?] ."
MOT,"Rick , make some eyes ."
CHI,umm [/?] .
MOT,right .
MOT,"no , Rick look ."
CHI,I wanna make the eyes .
MOT,"Rick , look at mommy ."
MOT,make some ears .
MOT,make some ears on him ?
MOT,okay .
MOT,make a mouth .
MOT,can you make some teeth ?
MOT,make some teeth in that mouth ?
CHI,yeah .
MOT,how about some hair on his head ?
MOT,Rick .
CHI,I put xxx .
MOT,"no , Rick , that's wrong ."
MOT,you're not doing a very nice job .
MOT,you can do better than that .
CHI,no more .
MOT,let's try again .
CHI,I want Potato_Head .
MOT,"no , Rick , let's do this first ."
CHI,"no , I want Potato_Head ."
MOT,come here .
MOT,look at mom .
CHI,I want Potato_Head .
MOT,Rick look .
CHI,I want Potato_Head .
MOT,you can earn Potato_Head after you do this .
MOT,"Rick , look at mama ."
CHI,I want it .
MOT,Rick .
CHI,i [/?] I want it .
MOT,look .
MOT,"Rick , let's make a &fa +/."
CHI,xxx leave it here .
MOT,leave him there .
MOT,<alright let's make a> [/?] .
MOT,<hold your> [/?] hold your crayon .
MOT,hold it .
MOT,let's make a face .
CHI,no .
MOT,make some eyes .
CHI,no .
MOT,make a mouth .
CHI,no .
MOT,ears .
CHI,no .
MOT,give him some hair .
CHI,no .
MOT,there .
MOT,"okay , Rick , make his neck ."
MOT,okay .
MOT,<he's got> [/?] .
MOT,make his arms .
MOT,"no , where do the arms go ?"
CHI,wrong .
MOT,way out here .
CHI,I want +/.
MOT,can you make some shoes on him ?
CHI,no .
MOT,give him some shoes .
MOT,how about some shoes ?
MOT,good boy .
MOT,what do we call them Rick ?
CHI,shoes .
MOT,"Rick , look , what do we call this ?"
CHI,I don't want this .
MOT,what is it ?
MOT,what do you call this ?
CHI,a man .
MOT,"a man , good boy ."
CHI,put on .
MOT,did you wanna play with Potato_Head now ?
CHI,yes .
MOT,alright .
CHI,I get a camera .
MOT,here .
MOT,"Rick , can you get your Potato_Head ?"
CHI,"Gonzo , see ?"
MOT,"Rick look , can we give Potato_Head some feet ?"
MOT,look .
MOT,he's got some feet .
CHI,whe [/?] where's Potato_Head ?
CHI,a red house .
MOT,what's this ?
CHI,Ben have this .
CHI,Ben ha[/?] ga [/?] +/.
CHI,Ben ga [/?] +/.
CHI,give this a [/?] Ben .
MOT,did you give it to Ben before ?
CHI,"I put red one , red ."
MOT,mhm [/?] .
MOT,good boy .
CHI,no [/?] no shoes .
CHI,Potato_Head see the camera ?
MOT,"ha[/?] he's looking in the camera , huh [/?] ?"
MOT,"Rick , come here , huh [/?] ?"
CHI,no .
MOT,"Rick , look at mom ."
MOT,what do you say when you have your picture taken with the camera ?
MOT,what do you say ?
CHI,cheese .
MOT,cheese .
CHI,Potato_Head .
CHI,hear the microphone .
MOT,is he talking in the microphone ?
MOT,what does he wanna say ?
CHI,Gonzo a [/?] chuck .
CHI,I tie Gonzo up .
CHI,tie [/?] tie Gonzo up tie [/?] .
MOT,"&-uh [/?] not in the microphone Rick , <no no> [/?] no ."
CHI,no [/?] no .
MOT,put the microphone down .
CHI,<knot it> [/?] I knot it .
MOT,no .
CHI,I tie Gonzo .
MOT,"Rick , look at mom ."
CHI,<put this in> [/?] put it in .
MOT,"no , there's no touching the microphone ."
MOT,"Rick , no ."
CHI,I put it in .
MOT,"Rick look at mommy , look ."
MOT,"Rick , look ."
MOT,"if you touch the microphone again , I'm gonna put you in time out ."
MOT,there's no touching it Rick .
MOT,no .
MOT,"look at me , no ."
CHI,no .
CHI,Ricky .
MOT,Rick [/?] <Rick look> [/?] Rick look .
MOT,let's measure Gonzo .
MOT,let's lay him out here and measure him up .
CHI,lay down .
MOT,can you measure him ?
CHI,all right here .
MOT,"look , we got to start from here ."
CHI,I measure here .
MOT,how many inches ?
MOT,fourteen inches .
CHI,"oh , oh xxx ."
MOT,"oh , look , what's that number ?"
CHI,four .
MOT,fourteen .
CHI,roll up .
MOT,play roll up .
MOT,roll it up Rick .
CHI,put it down on it .
MOT,"Rick , sit up ."
MOT,"Rick , I want you to roll it up over here so the camera can see ."
CHI,I wanna sit here .
MOT,"Rick , right here ."
MOT,"Rick , listen to mommy , no touching the camera ."
CHI,xxx .
CHI,it's +/.
MOT,"Rick , what did I say about time out okay ?"
MOT,Rick look at me .
MOT,listen to mommy .
MOT,there's no touching the microphone .
CHI,I touch it .
MOT,"Rick , look , what are the rules ?"
CHI,no touching the microphone .
MOT,"alright , now go sit down and let's play ."
CHI,<i touch it> [/?] I touch it .
MOT,"Rick , let's make Potato_Head's face ."
MOT,here .
MOT,"Rick , where does this go ?"
CHI,I play Gonzo .
CHI,I bite it .
MOT,Rick .
CHI,I leave right here .
MOT,"no , we'll leave it over here ."
CHI,Potato_Head touch ?
MOT,"Rick , no ."
CHI,I do this .
MOT,"Rick , let's go to time out ."
MOT,"Rick , look at mommy ."
MOT,you needta sit down and play nicely with your toys or you go back to time out .
CHI,no .
MOT,sit over here .
