participant,sentence
MOT,xxx .
CHI,a girl .
MOT,no it's +/.
CHI,it's the people .
MOT,it's a boy .
CHI,boy .
MOT,and he has a hat on .
CHI,hat .
CHI,wanna eat ?
CHI,eat a supper .
CHI,time to eat breakfast .
CHI,good ?
CHI,did you eat it all ?
CHI,honey dip donut .
CHI,honey dip .
MOT,&mm [/?] .
MOT,are they good ?
CHI,honey dip donuts .
MOT,are honey dip donuts good ?
CHI,yes .
MOT,&mm [/?] .
CHI,hotdogs and beans .
CHI,hotdogs and beans ?
CHI,time for eat breakfast .
CHI,&mm [/?] .
CHI,it's a chair .
CHI,bang [/?] !
CHI,did you watch tv ?
MOT,"oh , ."
MOT,what are they watching ?
CHI,watching a Phil_Collins .
MOT,Phil_Collins ?
MOT,"oh , ."
MOT,what's Phil_Collins doing ?
CHI,he's dancing Madonna !
MOT,he's dancing with Madonna .
MOT,okay .
CHI,he's dancing Donna .
MOT,what's this roger ?
CHI,get off the table !
CHI,get off the table !
CHI,get off !
CHI,you bad !
CHI,you stand in the corner .
CHI,you wanna stand in the corner ?
CHI,you hafta behave .
CHI,get off .
CHI,and you hafta wash your hands .
CHI,you be dirty .
CHI,xxx .
MOT,"oh , where's the mother ?"
CHI,it's the mother .
CHI,tables .
MOT,where's the mother ?
MOT,get the mother in there .
CHI,do you wanna play ?
CHI,I wanna play please .
CHI,I'll go get a play .
MOT,okay .
MOT,what do you wanna play ?
CHI,<do you want> [/?] <do you wanna go> [/?] do you wanna go get a play ?
CHI,xxx .
MOT,"oh , I don't know where it is roger ."
MOT,let's play with these people .
MOT,there's a lady right there .
CHI,lady .
MOT,oop [/?] there she is .
CHI,there .
CHI,there's the girl .
CHI,there a girl .
CHI,very +/.
CHI,"say , get off the table !"
CHI,get off .
MOT,let's put him in the car .
MOT,go for a ride ?
CHI,go for ride with Phil .
CHI,go with Phil .
MOT,where are you going ?
CHI,going out to Phil .
CHI,going +/.
MOT,bye .
CHI,bye .
CHI,bye .
CHI,bye Helen .
MOT,"no , that's Kathy ."
CHI,bye Kathy .
CHI,bye Helen .
MOT,okay .
MOT,time to come back .
CHI,going under .
CHI,under the bridge .
MOT,roger .
CHI,"roger , go on ."
CHI,go to the barn .
CHI,find the silo .
CHI,find the silo .
CHI,"say , get off the table !"
CHI,get off !
MOT,who's in there ?
