participant,sentence
MOT,good +/.
MOT,"oh , look it ."
MOT,there goes one .
MOT,over there .
CHI,"me [/?] me <want , want> [/?] want ."
MOT,here you do it .
MOT,easy .
MOT,blow nice and easy .
MOT,here .
MOT,let's try it again .
MOT,want me to blow some for you ?
CHI,"oh , okay ."
MOT,ready .
MOT,nice and easy .
MOT,watch .
MOT,now watch me .
CHI,okay .
MOT,watch .
MOT,"I'm putting it right to here , not real close to my mouth ."
MOT,watch .
MOT,want me to try it again ?
CHI,okay .
MOT,"okay , and then you can have a turn ."
MOT,ready .
CHI,xxx .
MOT,easy .
MOT,"okay , you wanna try that ?"
MOT,nice and easy .
MOT,easy Jack .
MOT,blow the bubbles nice and easy .
MOT,"oh , you did one !"
CHI,I did one !
MOT,good .
CHI,I needta go to the bath+room .
MOT,"okay , go ahead ."
MOT,you go to [/?] the bath+room .
MOT,"and then come back here Jack , okay ."
MOT,what's is [/?] that ?
MOT,what's that say ?
CHI,magic rainbow .
MOT,magic rainbow .
MOT,what else ?
CHI,bubbles .
MOT,"okay , sit on my lap ."
MOT,now come on .
MOT,what do they do ?
CHI,"go <quack , quack> [/?] quack ."
MOT,"here , let's see you blow some bubbles ."
MOT,easy [/?] easy .
MOT,no easy watch .
MOT,watch .
MOT,watch .
CHI,"<whoa , whoa> [/?] no ."
MOT,let me try another one .
MOT,what happened there ?
MOT,"sit on my lap now , don't walk away ."
MOT,you do it .
MOT,"nice and slow , easy ."
MOT,easy .
MOT,right in that hole .
MOT,there you go .
CHI,you win .
MOT,here you wanna try another one ?
MOT,you did a good one .
MOT,you did about five of them .
CHI,I won .
MOT,easy .
CHI,easy .
MOT,"no , easy ."
MOT,easy [/?] easy .
MOT,<what hap> [/?] what happened ?
MOT,it went away .
MOT,easy .
CHI,you win .
CHI,you win .
MOT,"oh , you did good ."
CHI,you win .
MOT,"now come on now , stop your squirming around here ."
MOT,I don't know why you're crying so much Jack .
MOT,all you're doing is getting yourself all wound up .
CHI,one and two .
MOT,you wanna do it again ?
MOT,easy .
CHI,xxx .
CHI,"oh , no ."
MOT,you have a bubble thing don't you ?
MOT,what's that game you and mama were [/?] playing last night when you write the words ?
MOT,let's try it .
MOT,enough with the ahs [/?] .
MOT,come on .
MOT,you're getting it on your mouth .
MOT,what's it taste like ?
MOT,taste like soap ?
MOT,alright .
MOT,let's try some words .
CHI,alright .
MOT,alright do one more .
MOT,"okay , <let's> [/?] come over here ."
MOT,we'll try something +/.
CHI,alright .
MOT,no watch out for the wire .
MOT,go this way .
CHI,alright daddy .
MOT,come [/?] come this way .
MOT,stop .
MOT,come this way .
MOT,"if you don't stop making that noise , we're not going out this afternoon ."
MOT,sit over here on the chair .
MOT,sit down .
CHI,xxx .
CHI,cries .
MOT,okay .
MOT,I wanna do that game .
MOT,"momma told me , you were [/?] doing something yesterday ."
MOT,<stop making the> [/?] stop making the noise .
MOT,stop making that noise .
MOT,stop !
CHI,okay .
CHI,stop .
CHI,stop the noise .
CHI,stop .
MOT,come here .
MOT,I wanna do some words with you .
MOT,alright now I want you to spell that word .
MOT,what's that word ?
CHI,good .
MOT,"okay , how do you spell it ?"
CHI,<g@l o@l o@l d@l> [/?] .
MOT,very good .
MOT,what's this word ?
CHI,no .
CHI,table .
MOT,how do you spell table ?
CHI,<t@l a@l b@l e@l l@l > [/?] .
MOT,no <t@l a@l b@l l@l e@l> [/?] .
CHI,<b@l l@l e@l> [/?] .
MOT,right .
MOT,"alright , let's do +/."
MOT,what's this one say ?
CHI,sink .
MOT,"okay , spell that ."
CHI,<c@l I@l n@l k@l > [/?] .
MOT,no what's that letter ?
CHI,sink .
MOT,"yeah , what's letter right there though ?"
MOT,that's not a c@l [/?] that's a +/.
CHI,s@l [/?] .
MOT,okay .
MOT,s@l [/?] +/.
CHI,<s@l I@l n@l k@l > [/?] .
MOT,yeah .
MOT,"alright , let's do another one ."
MOT,you pick one .
MOT,which one do you wanna do ?
CHI,broom .
MOT,"okay , spell broom ."
MOT,spell broom .
CHI,<b@l o@l o@l m@l> [/?] .
MOT,you forgot the r@l [/?] .
CHI,<r@l m@l o@l o@l m@l > [/?] .
MOT,"okay , <let me> [/?] let me try this one on you ."
CHI,broom .
MOT,<but listen> [/?] listen to +/.
MOT,&sh [/?] .
MOT,how do you spell ten .
CHI,ten .
MOT,spell ten .
MOT,ten .
MOT,what's the first letter ?
MOT,ten .
CHI,ten .
MOT,spell it .
MOT,it's not on here .
MOT,I didn't write it on here .
MOT,you're gonna hafta think about it .
CHI,needta go to the bath+room .
MOT,"alright , you spell +/."
CHI,bath+room .
MOT,you write ten on here .
MOT,let me see you write ten .
CHI,wanna sit down .
MOT,no .
MOT,just write ten .
MOT,the word .
MOT,what's the first letter ?
MOT,that's it .
MOT,"okay , that's the number ten ."
MOT,I want you to write the word ten .
MOT,t@l [/?] +/.
CHI,e@l [/?] +/.
MOT,no you've got to write it Jack .
MOT,t@l [/?] +/.
MOT,how do you spell tens ?
MOT,that's how you write ten .
MOT,let me see your pen .
MOT,this is how you spell ten .
MOT,look .
MOT,ten .
MOT,t@l [/?] +/.
CHI,<e@l n@l > [/?] .
MOT,right !
MOT,"okay , how do you spell five ?"
CHI,five .
MOT,what's the first letter ?
MOT,what's the first letter ?
CHI,<f@l I@l > [/?] +/.
MOT,what's the next letter ?
CHI,v@l [/?] .
MOT,what's the last letter ?
CHI,e@l [/?] !
MOT,very good !
CHI,you got it .
MOT,here wipe your nose .
MOT,very good .
MOT,let's spell a little .
MOT,let's spell .
MOT,let's spell Jack .
MOT,how do you spell Jack ?
MOT,how +/.
CHI,<j@l o@l h@l n@l > [/?] .
MOT,okay .
MOT,how do you spell Helen ?
CHI,<h@l a@l e@l l@l e@l n@l> [/?] .
MOT,very good .
MOT,what else do you wanna do ?
MOT,do you wanna spell something else ?
MOT,how about spelling your nose ?
CHI,<n@l o@l s@l e@l> [/?] .
MOT,point [/?] point to your nose .
MOT,point to my nose .
MOT,point to mama's nose .
MOT,<point to> [/?] where's the chaise ?
CHI,chair .
MOT,what's a chair ?
MOT,am [/?] I sitting in one ?
CHI,okay .
MOT,okay .
MOT,where's the oven ?
MOT,where's the oven ?
CHI,okay .
MOT,right there .
MOT,very good .
MOT,<where's the> [/?] where's the refrigerator ?
CHI,okay .
MOT,okay .
MOT,where's daddy's truck ?
MOT,outside !
MOT,ah [/?] what else can we do now ?
MOT,where's the light ?
MOT,"yeah , we have a whole bunch of lights ."
MOT,"one , two ."
MOT,&-um [/?] how old are you ?
CHI,Jack .
MOT,"no , that's your name ."
MOT,how old are you ?
CHI,Jack .
MOT,that's your name .
MOT,<how old> [/?] how many years old are you ?
MOT,okay calm down .
CHI,six .
MOT,&sh [/?] no you're +/.
CHI,ten .
MOT,"no , how many (i)s that ?"
MOT,count them .
CHI,"<one , two , three , four , five , six , seven> [/?] ."
MOT,that's how old you are is [/?] seven .
MOT,what else can we do ?
MOT,where do you go to school ?
CHI,on tuesday .
MOT,where ?
MOT,what's the name of the school ?
MOT,what's the name of the school ?
CHI,&-uh [/?] .
MOT,what's the name of the school ?
MOT,you go to the +/.
CHI,league school .
MOT,league school .
MOT,right .
CHI,one [/?] one .
MOT,but where is it ?
MOT,do you know what city it's in ?
MOT,it's in the town of +/.
CHI,Belmont .
MOT,"no , you live in Belmont ."
MOT,the league school is in +/.
CHI,Baltimore .
MOT,it's not in Baltimore .
MOT,it's in Newton .
CHI,Newton .
MOT,yeah .
MOT,do you know how to spell Newton ?
CHI,<n@l e@l w@l t@l o@l n@l> [/?] .
MOT,very good .
MOT,&-um [/?] let me think .
MOT,<who do> [/?] who are you +/.
MOT,tell me your class+mates are in school .
MOT,who do you go to school with ?
MOT,let's name them .
MOT,"there's Jack , there's +/."
CHI,Paul .
MOT,Paul .
CHI,and Nathaniel .
MOT,Nathaniel .
CHI,and Bassillio .
MOT,Bassillio .
MOT,"and , who are the teachers ?"
MOT,who are your teachers ?
CHI,&-um [/?] .
MOT,who are your teachers ?
CHI,xxx .
MOT,who [/?] well xxx gone .
MOT,who's the other teacher ?
MOT,who's the teacher you're gonna see in two weeks ?
CHI,"Nathaniel , Bassillio ."
MOT,"no , those are your school+mates ."
MOT,who's the teacher ?
MOT,"you know , the big person ."
MOT,the big teacher ?
MOT,who's the big teacher ?
MOT,what's her name ?
CHI,Jack [/?] Kathy .
MOT,"Kathy , very good ."
MOT,who's the other teacher's name ?
CHI,Bassillio .
MOT,"no , teacher , teacher ."
MOT,not student .
MOT,teacher .
CHI,teacher .
MOT,what's her name ?
MOT,Lynn ?
CHI,Lynn .
MOT,I don't know ?
CHI,"Kathy , Lynn ."
MOT,&-um [/?] what else can we do ?
CHI,is Kathy going on vacation ?
CHI,vacation .
MOT,Kathy did go on vacation .
MOT,do you wanna +/.
CHI,she's gonna go to Baltimore .
MOT,she's going to Baltimore ?
MOT,are [/?] you going on vacation with me in a couple of days ?
CHI,okay .
MOT,where you wanna go ?
MOT,where we gonna go ?
MOT,where would you like to go ?
CHI,to Baltimore .
MOT,to Baltimore ?
MOT,<we can't> [/?] I don't know where Baltimore is .
MOT,how about the cape ?
CHI,cape .
MOT,would you like it down the cape ?
CHI,okay .
MOT,"okay , sit up in that chair ."
MOT,the floor's all wet over there .
MOT,I don't want you to get all your feet in those bubbles .
MOT,&-um [/?] <who we gonna see> [/?] who's down on Cape_Cod right now ?
CHI,grandpa .
MOT,"yeah , and who else ?"
CHI,and Sasha .
MOT,and Sasha .
CHI,and +/.
MOT,and +/.
MOT,grandma's down there .
CHI,and Sasha's going to swim .
MOT,that's right .
MOT,would you like to go swim in the ocean with me ?
CHI,okay .
MOT,yeah .
MOT,&-um [/?] what's the name of that pond you go to ?
CHI,Houghton pond .
MOT,"Houghton's pond , no ."
CHI,and Gaffpool .
MOT,and Gaffpool .
MOT,where's Gaffpool ?
CHI,at +/.
MOT,at where ?
CHI,swimming .
MOT,"yeah , where is it ?"
MOT,do you know where that is ?
MOT,is [/?] that in Newton ?
CHI,okay .
MOT,where's Houghton's pond .
MOT,that's not in Newton .
CHI,Houghton pond .
MOT,Houghton's pond is where ?
MOT,in +/.
CHI,&b [/?] Baltimore .
MOT,where is it ?
CHI,in Belmont .
MOT,"no , it's not in Belmont ."
MOT,Houghton's pond is in &-um [/?] Stoughton ?
CHI,don't know .
MOT,I don't know either .
CHI,I don't know .
