participant,sentence
CHI,xxx . [+ trn]
INV,you want the toy ?
CHI,0 . [+ trn]
INV,no toy .
CHI,xxx . [+ trn]
INV,you want the puzzle ?
CHI,0 . [+ trn]
INV,no puzzle .
CHI,0 . [+ trn]
INV,you want this puzzle ?
CHI,0 . [+ trn]
INV,no puzzle .
CHI,xxx . [+ trn]
INV,&=gasp . [+ trn]
INV,you want the book ?
CHI,0 . [+ trn]
INV,oh there's the book for Chi .
CHI,xxx . [+ trn]
INV,the book Chi .
INV,that's right .
INV,okay .
INV,let's sit down .
CHI,xxx . [+ trn]
INV,you've got the book .
CHI,xxx . [+ trn]
INV,there's the cookie .
CHI,xxx . [+ trn]
CHI,0 .
INV,Chi there's the cookie monster .
INV,there's the cookie &mon +/.
CHI,0 [=! cries] . [+ trn]
INV,here's your ball Chi .
INV,here's your ball .
CHI,xxx . [+ trn]
INV,you want the book ?
CHI,xxx . [+ trn]
INV,you want me to stand up ?
INV,okay I'll stand up .
CHI,0 .
CHI,xxx . [+ trn]
INV,slide it open .
INV,&=gasp there's Chi .
INV,let's close it .
INV,close it .
CHI,0 .
INV,roll the ball .
INV,&=gasp . [+ trn]
INV,roll it to Chi .
CHI,0 .
INV,roll it .
INV,&=gasp &-uh oh .
INV,it fell .
CHI,0 .
INV,oop .
INV,&-uh oh .
INV,&-uh oh .
CHI,0 [=! cries] . [+ trn]
INV,&-uh oh .
INV,&-uh oh .
INV,you hit your head Chi .
INV,it's okay .
CHI,0 .
INV,roll it .
INV,okay Chi .
INV,let's get your ball .
CHI,0 [=! cries] . [+ trn]
INV,I'm putting it away Chi .
INV,I'm putting it away .
INV,it's gone .
INV,it's gone .
INV,I put it away Chi .
CHI,0 [=! cries] . [+ trn]
INV,here's your book .
INV,here's your book .
INV,here's your book .
INV,there's Ernie .
INV,&=gasp Chi .
INV,the cookie monster .
INV,there's the cookie monster .
CHI,0 .
INV,&=gasp there's big bird with a ball .
CHI,0 [=! cries] . [+ trn]
INV,there's big bird .
INV,he has a ball .
CHI,0 [=! cries] . [+ trn]
INV,&=gasp there's the cookie monster Chi .
INV,with a cookie .
INV,he's eating .
INV,he's eating the cookie .
INV,turn the page .
CHI,0 .
CHI,0 .
CHI,0 [=! cries] . [+ trn]
INV,Chi .
INV,look .
INV,0 .
INV,&=gasp there he is .
INV,there's cookie monster with a cookie .
INV,there he is .
CHI,0 .
INV,there's Ernie .
CHI,xxx . [+ trn]
INV,Ernie .
CHI,xxx . [+ trn]
INV,there's Ernie .
CHI,xxx . [+ trn]
INV,he's taking a bath .
INV,Ernie's taking a bath .
CHI,xxx . [+ trn]
INV,Ernie .
INV,he's taking a bath .
INV,there's the water .
INV,there's the duck .
CHI,0 .
INV,&=gasp . [+ trn]
INV,the cookie monster .
CHI,0 .
CHI,xxx . [+ trn]
INV,there he is again .
INV,the cookie monster .
INV,with a cookie .
CHI,0 .
CHI,0 [=! cries] . [+ trn]
INV,let's get another book Chi .
INV,let's get another book .
CHI,0 [=! cries] . [+ trn]
INV,here's another one .
INV,another book for Chi .
CHI,0 .
CHI,xxx . [+ trn]
INV,there's Ernie .
INV,he's washing dishes .
CHI,0 [=! cries] . [+ trn]
INV,0 .
CHI,0 [=! cries] . [+ trn]
INV,0 .
CHI,0 [=! cries] . [+ trn]
INV,Ernie .
CHI,0 .
INV,and Bert .
INV,he's drying the dishes .
CHI,xxx . [+ trn]
INV,he's drying +//.
INV,Ernie .
CHI,0 .
INV,pull it open .
INV,we needta turn it over Chi .
INV,pull it open .
CHI,0 .
CHI,xxx . [+ trn]
INV,Ernie .
INV,washing the dishes .
CHI,0 [=! cries] .
INV,&-uh oh .
INV,no book .
INV,no book .
INV,let's put (th)em back on the shelf .
CHI,xxx . [+ trn]
INV,on the shelf ?
CHI,xxx . [+ trn]
INV,okay .
INV,we'll put them back .
INV,bye bye book .
CHI,xxx . [+ trn]
INV,on the shelf ?
INV,let's play with the blocks Chi .
