participant,sentence
INV,say bye bye people .
CHI,bye bye .
INV,you're right .
INV,bye bye .
INV,this way .
INV,look .
INV,the chickens are over here .
CHI,bye bye .
INV,bye bye .
CHI,xxx . [+ trn]
INV,this way .
INV,do you hear the trucks ?
INV,what do you hear ?
INV,&=gasp . [+ trn]
INV,hear the chickens ?
INV,&=gasp . [+ trn]
INV,look at the chickens !
INV,look .
INV,can you hear them ?
CHI,chickens .
INV,chickens !
INV,look lets feed the chickens .
INV,do you wanna feed the chickens ?
INV,come here .
INV,it's okay .
INV,look .
INV,lets feed the chickens .
INV,your turn .
CHI,0 [>] .
INV,your turn [<] .
INV,its okay .
CHI,0 .
INV,no let's put it through the hole .
INV,look .
INV,feed the chickens .
CHI,0 .
INV,whoa !
INV,there's your cheerio .
CHI,0 .
INV,over the hole .
CHI,0 .
INV,here let's you [?] put it over here .
INV,here you go .
CHI,0 .
INV,&=gasp . [+ trn]
INV,was that good ?
INV,was that good ?
CHI,0 .
INV,Chi lets feed the chickens .
INV,look .
INV,look .
INV,lets come feed the chickens .
CHI,0 .
INV,that's the camera .
INV,look .
INV,here .
INV,put it in here .
INV,can you put it in here ?
CHI,0 .
INV,no that's the chicken food .
INV,silly .
INV,look .
INV,put it in there .
CHI,0 .
INV,not for you for the chicken .
INV,for the chicken .
INV,put it in .
CHI,chicken .
INV,what ?
INV,do you hear them ?
INV,look .
INV,look .
CHI,0 .
INV,where are you going ?
INV,what about the chickens ?
INV,climb .
INV,you're on top of the wall .
INV,Humpty_Dumpty sat on the wall .
CHI,0 .
INV,that's the camera .
INV,look at the chickens .
INV,say chickens .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,do you need help ?
CHI,0 . [+ trn]
CHI,chicken .
INV,chickens !
CHI,a truck .
CHI,xxx . [+ trn]
INV,the chickens .
INV,look at the chickens !
INV,lets go up the stairs .
CHI,0 .
CHI,up .
INV,up .
INV,up .
INV,up .
INV,up .
INV,&=gasp . [+ trn]
INV,up !
INV,&=gasp . [+ trn]
INV,hi Chi !
INV,hi !
CHI,yyy [= jargon] .
INV,hi !
CHI,yyy .
INV,oh hi !
INV,hi [>] !
CHI,yyy [<] .
INV,here Chi .
CHI,oh .
INV,0 . [+ trn]
INV,peek_a_boo !
INV,peek_a_boo !
CHI,0 [= heavy breathing] .
INV,&-uh !
INV,go .
CHI,0 [=! screams] .
CHI,0 .
INV,peek_a_boo !
INV,peek_a_boo !
INV,peek_a_boo !
INV,&=gasp . [+ trn]
INV,hi Chi !
INV,bye bye Chi .
INV,bye .
CHI,0 .
INV,bye .
CHI,0 .
CHI,0 [=! screams] .
INV,&=gasp hi !
INV,whoa !
INV,hi !
CHI,0 .
INV,&haha what are you doing ?
CHI,0 .
INV,up !
INV,its time to get up !
CHI,0 .
CHI,0 .
CHI,0 .
INV,&-uh (.) oh .
INV,&-uh oh .
INV,let's shut the door .
CHI,0 .
INV,here .
CHI,xxx .
INV,here let's do this one first .
INV,let's do this one .
CHI,0 .
INV,whoa .
INV,here Chi .
INV,here are all your pieces .
CHI,0 .
INV,look .
CHI,xxx .
INV,look .
INV,we needta finish this puzzle .
INV,one .
CHI,xxx . [+ trn]
INV,one .
CHI,xxx .
INV,two .
CHI,xxx .
INV,here Chi .
INV,Chi .
INV,here Chi .
INV,put this in the puzzle .
CHI,xxx . [+ trn]
INV,in the puzzle .
INV,here's the puzzle .
CHI,xxx .
INV,put it right here .
CHI,xxx .
INV,put it right here .
CHI,xxx .
CHI,xxx .
CHI,xxx .
INV,Chi it goes here .
INV,can you fit it ?
INV,push it .
CHI,xxx .
INV,it goes right here .
INV,look .
INV,it goes right here .
INV,push it in .
CHI,xxx .
INV,pu [//] there you go .
INV,here Chi .
CHI,xxx .
INV,he goes here .
CHI,xxx .
INV,put (h)im in .
CHI,xxx .
INV,push him in .
CHI,xxx .
INV,this way .
CHI,xxx .
INV,push him in .
CHI,xxx [=! voc] . [+ trn]
INV,now .
INV,there he goes .
CHI,xxx .
INV,0 .
INV,here .
CHI,xxx .
INV,no he goes here .
INV,will you put that here ?
INV,0 .
CHI,xxx .
INV,turn it over .
CHI,xxx .
INV,there you go .
INV,turn it over .
INV,turn it .
CHI,0 .
INV,there's one .
CHI,0 .
INV,&=gasp . [+ trn]
INV,you got it .
CHI,0 .
INV,there's that one .
INV,now what about this one ?
CHI,0 .
INV,there !
INV,look at your puzzle .
CHI,0 .
INV,look at this .
INV,let's do this one Chi .
INV,Chi what about this one ?
INV,what about the girl ?
CHI,0 .
CHI,yyy .
CHI,xxx .
INV,take (th)em out .
INV,take her arm out .
CHI,0 .
INV,take her head out .
CHI,0 .
INV,look .
CHI,0 .
INV,her head .
INV,take (th)em out .
INV,take them out .
CHI,0 .
INV,here's her neck .
INV,and her chest .
CHI,0 .
INV,look .
INV,two arms .
INV,will you put this back for me ?
INV,here you go .
CHI,0 .
INV,Chi we're not finished .
CHI,yyy .
INV,say hi Holly with the camera .
INV,0 .
INV2,hi Chi .
INV,no Chi no .
INV,no .
INV,here you go .
INV,put this here .
INV,no hitting Holly .
INV,here you go .
INV,Chi no hitting Holly .
INV,here .
INV,look .
INV,put it there .
INV,put this there .
INV,it fits .
INV,it fits .
INV,here sit with me .
INV,it fits .
INV,see look .
INV,push it in Chi .
INV,push it in .
INV,put that in .
CHI,0 .
INV,what about her arms ?
CHI,0 .
INV,Danny's gonna help us .
INV,look how fast Danny does this .
INV,here's the arm .
INV,you do the arm .
INV,www .
INV,here .
CHI,xxx .
INV,www .
INV,there .
INV,you go right here .
CHI,0 .
INV,here you go .
INV,here Chi .
INV,put the skirt in .
INV,www .
CHI,0 .
INV,here Chi .
INV,www .
CHI,0 .
INV,thank you Chi .
INV,thank you .
CHI,0 .
INV,take (th)em out .
INV,gentle .
INV,gentle .
INV,okay put it back .
INV,put it back .
INV,Chi <we hafta> [//] when we take a puzzle out we've got to put it back .
INV,here you go .
CHI,xxx .
INV,where does that go ?
CHI,xxx .
INV,sit up .
INV,Chi it's time for us to sit up .
INV,yay .
INV,let's put our puzzle together .
INV,look .
INV,we'll bring it right here for us .
CHI,xxx .
INV,look at that .
CHI,xxx .
INV,where does this go ?
CHI,xxx .
INV,0 .
CHI,0 .
INV,that goes up there .
INV,we'll leave that for now .
INV,put the leg away .
CHI,xxx .
INV,Chi put the leg in .
CHI,0 .
INV,you're just a jello [?] tired today .
INV,you're just tired .
CHI,xxx . [+ trn]
INV,xxx . [+ trn]
INV,Chi okay .
INV,we've gotta finish this .
CHI,0 . [+ trn]
INV,nope that's Danny's puzzle .
INV,Danny's puzzle .
INV,sit up Chi .
INV,one .
INV,two .
INV,I'll help you .
CHI,0 .
INV,where's the shirt ?
INV,here Chi .
INV,here's the hand .
INV,&=gasp . [+ trn]
INV,fun .
INV,look at this .
INV,wow .
INV,here Chi one more .
INV,are you sliding ?
CHI,0 .
INV,one more .
CHI,0 [=! grunts] .
CHI,0 [=! grunts] .
INV,slide slide slide .
CHI,0 [=! grunts] .
INV,slide slide slide .
CHI,0 [=! grunts] .
CHI,xxx .
INV,you wanna slide some more ?
INV,&=gasp . [+ trn]
INV,slide slide slide .
CHI,0 .
CHI,xxx .
CHI,xxx .
CHI,0 .
INV,climb up Chi .
CHI,xxx [=! voc] [=! voc] [=! voc] [=! voc] .
INV,up up up up .
CHI,xxx .
INV,up up .
CHI,xxx .
CHI,hi .
INV,hi .
INV,hi .
INV,you got it .
INV,one more step .
INV,step down .
INV,come on .
INV,jump .
CHI,0 .
INV,yay .
CHI,xxx .
CHI,0 [=! screams] .
INV,peek a boo .
CHI,0 [=! squeals] . [+ trn]
CHI,0 .
INV,peek a boo .
INV,peek a boo .
INV,hi .
INV,hi .
CHI,0 . [+ trn]
INV,what ?
INV,are you gonna come ?
INV,don't you need help ?
CHI,xxx . [+ trn]
INV,don't you need help ?
CHI,xxx . [+ trn]
INV,Chi needs help .
CHI,xxx . [+ trn]
INV,Chi do you need help ?
CHI,0 . [+ trn]
INV,help .
INV,here you go .
INV,do you need help ?
CHI,xxx .
INV,ask me .
CHI,xxx .
INV,help .
CHI,xxx .
CHI,0 .
INV,Exp I need help .
INV,here Chi .
INV,come here .
INV,jump .
CHI,0 .
CHI,xxx .
CHI,xxx .
INV,vroom@o vroom@o vroom@o .
CHI,yyy [= jargon] [>] .
INV,vroom@o [<] .
CHI,xxx .
INV,go down the slide .
CHI,xxx .
CHI,xxx .
CHI,xxx .
INV,go down the slide .
INV,Chi it's time for us to water the plants .
INV,let's go .
INV,www .
CHI,yyy [= jargon] .
CHI,yyy [= jargon] .
INV,come on Chi .
INV,say bye bye camera .
INV,it's time to go water the plants .
INV,out this door .
INV,www .
CHI,0 .
INV,yyy we've got to go water the plants .
INV,let's go .
INV,Chi this way .
INV,we hafta go water the plants .
INV,this way .
INV,let's go this way .
INV,we needta get the water jug .
INV,can you open this door for me ?
INV,will you help me ?
INV,help .
CHI,0 .
INV,we needta go water the plants .
CHI,xxx .
CHI,no [?] .
INV,let's go water the plants .
INV,where're we goin(g) ?
CHI,xxx .
INV,water the plants .
INV,hold on .
INV,let's go [//] I'm gonna find the water jug .
INV,not yet .
INV,look what I have .
INV,&=gasp . [+ trn]
CHI,0 .
INV,let's go water the plants .
INV,this way .
CHI,0 .
INV,can you open the door ?
CHI,0 .
INV,thank you .
INV,let's go water the plants .
INV,can you push the door open ?
CHI,bye .
INV,thanks .
INV,say bye .
INV,that's right .
INV,water the plants .
CHI,0 .
CHI,0 .
INV,there you go .
INV,okay that's good .
INV,off .
INV,let's go water .
CHI,0 .
INV,this way .
INV,I'll open the door for you now .
INV,water the plants .
CHI,0 .
INV,this one .
CHI,0 .
INV,okay let's water that one now .
CHI,0 .
INV,let's go get some water .
INV,we needta water this one .
INV,&-uh oh Chi we need more water .
INV,we need more .
INV,let's go get some more .
INV,this way .
INV,let's get some more water .
CHI,0 .
INV,here you go .
INV,come on this way .
INV,Chi .
INV,let's show them how we can water plants .
CHI,0 .
CHI,0 .
INV,&=gasp no let's go yyy .
INV,let's go water the plants for me .
INV,here Chi (..) I mean (.) yeah Chi .
CHI,0 .
CHI,0 .
INV,turn on the water .
INV,okay .
CHI,0 .
INV,yep .
INV,look it's going in .
INV,it's going in .
CHI,0 .
INV,put it in .
INV,you gotta push it in the hole .
CHI,0 .
INV,okay turn off the water Chi .
CHI,xxx .
