participant,sentence
CHI,0 . [+ trn]
CHI,xxx .
CHI,0 . [+ trn]
INV,up here ?
CHI,0 . [+ trn]
INV,what's up here ?
INV,up there .
INV,here's a balloon .
INV,here is a balloon .
CHI,0 .
INV,there's a balloon .
CHI,0 .
CHI,xxx . [+ trn]
INV,0 .
CHI,0 .
CHI,0 .
INV,0 .
CHI,xxx .
INV,blow it up .
INV,blow it up .
INV,blow it up .
INV,one (.) two (.) three .
INV,&=gasp let it go .
INV,there it is .
CHI,0 .
INV,there it is .
INV,thank you .
INV,thank you .
INV,blow it up .
CHI,0 .
CHI,xxx . [+ trn]
INV,one two three .
CHI,0 .
INV,&=gasp let it go .
CHI,0 .
INV,there it is .
CHI,0 .
INV,there it is .
CHI,0 . [+ trn]
INV,thank you .
INV,blow it up .
CHI,0 .
INV,0 .
CHI,0 .
CHI,0 .
INV,0 .
CHI,0 .
INV,one .
INV,two .
CHI,0 . [+ trn]
INV,three .
INV,there it is .
INV,there it is .
CHI,0 .
CHI,0 .
INV,thank you .
INV,thank you .
CHI,0 .
INV,0 .
CHI,0 .
CHI,xxx .
CHI,0 .
CHI,0 .
INV,there's Chi .
INV,there's Chi .
INV,there he is .
CHI,0 . [+ trn]
INV,Chi with the balloon .
INV,0 .
CHI,0 .
CHI,0 .
CHI,0 .
INV,0 .
INV,one .
CHI,0 .
INV,two three .
INV,&=gasp . [+ trn]
INV,let go .
CHI,0 .
INV,there it is .
INV,there it is .
CHI,0 .
CHI,0 .
INV,&=gasp . [+ trn]
INV,up up up up .
CHI,0 .
INV,up (.) up .
CHI,0 .
INV,get it Chi .
INV,get it .
CHI,xxx .
CHI,0 .
INV,you got it .
INV,you got it .
INV,up up up up .
INV,&=gasp . [+ trn]
CHI,0 .
INV,up up up .
CHI,0 .
INV,&=gasp . [+ trn]
INV,you got it .
INV,you got it Chi .
CHI,0 .
INV,up .
CHI,xxx .
INV,up up .
INV,up up up up up .
INV,up up up .
CHI,0 .
INV,get it (.) get it .
CHI,0 .
INV,&=gasp . [+ trn]
INV,you got it .
INV,you got it Chi .
CHI,0 .
INV,balloon's yyy .
CHI,0 .
INV,you got it .
INV,you got it .
CHI,0 .
INV,thank you .
