participant,sentence
INV,Chi we needta get a puzzle .
INV,where are the puzzles ?
INV,where are the puzzles ?
INV,&=gasp . [+ trn]
INV,let's look .
INV,&=gasp . [+ trn]
INV,here's a puzzle .
INV,you want this one ?
CHI,xxx . [+ trn]
INV,let's sit down .
CHI,xxx . [+ trn]
INV,let's sit down .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
CHI,0 .
INV,&-uh !
INV,they fell out .
INV,the pieces fell out .
CHI,0 .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,turn over the car .
INV,&=gasp . [+ trn]
INV,turn over the tree .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,0 .
CHI,xxx . [+ trn]
INV,what do [//] you have the truck .
CHI,xxx . [+ trn]
INV,you have the red truck .
INV,truck goes [=! voc] .
INV,a yellow car .
INV,<it's my turn> [>] .
CHI,xxx [<] . [+ trn]
INV,xxx . [+ trn]
INV,xxx . [+ trn]
INV,put it in .
CHI,xxx . [+ trn]
CHI,0 . [+ trn]
INV,oh is it my turn ?
CHI,xxx . [+ trn]
INV,look .
INV,I have a car .
INV,it's my turn .
INV,I'm going to put it in .
INV,0 .
INV,can you put the <truck in the puzzle> [>] ?
CHI,xxx [<] . [+ trn]
INV,0 .
INV,can you put the truck in the puzzle ?
CHI,my turn .
INV,that's right .
INV,a truck .
CHI,0 .
INV,put it in .
CHI,xxx . [+ trn]
INV,my turn .
CHI,xxx . [+ trn]
INV,what's this ?
INV,a bike .
INV,put it in .
CHI,xxx .
INV,0 .
INV,your turn .
INV,it's Chi's turn .
INV,do you want the truck ?
CHI,xxx [=! voc] [=! voc] [=! voc] . [+ trn]
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
CHI,xxx [=! voc] . [+ trn]
INV,xxx . [+ trn]
CHI,0 .
INV,you put the truck in .
CHI,xxx . [+ trn]
INV,the truck is in .
CHI,xxx . [+ trn]
INV,here's the car .
CHI,car .
CHI,my turn .
INV,that's right .
CHI,0 .
INV,a car .
INV,my turn .
INV,0 .
INV,oop wrong way .
INV,0 .
CHI,car .
CHI,my turn .
INV,&=gasp . [+ trn]
INV,a truck .
INV,my turn .
INV,0 .
INV,0 .
CHI,xxx . [+ trn]
CHI,a tree .
CHI,my turn .
INV,a tree .
INV,that's right .
INV,a truck .
INV,my turn .
INV,0 .
INV,it's Chi's turn .
CHI,a car .
CHI,my turn .
CHI,0 .
INV,a gas station .
INV,my turn .
CHI,xxx . [+ trn]
INV,0 .
INV,where's this piece ?
INV,0 .
CHI,0 .
INV,&=gasp . [+ trn]
INV,I see it .
INV,it's under the table .
CHI,0 .
INV,can you pick it up ?
INV,watch your head .
CHI,0 .
INV,you picked it up .
CHI,a bike .
CHI,my turn .
CHI,0 .
INV,a bike .
INV,you put it in .
INV,&=gasp . [+ trn]
INV,you put it in .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,xxx . [+ trn]
INV,xxx . [+ trn]
INV,what's that ?
CHI,yyy .
INV,is that a green car ?
CHI,a car .
INV,what's that ?
CHI,a bike .
INV,a bike .
CHI,a car .
CHI,a bike .
INV,Chi what's that ?
CHI,yyy .
CHI,a truck .
INV,a truck .
CHI,xxx .
INV,that's right .
INV,let's get another one .
INV,you ready for another puzzle ?
CHI,0 .
INV,let's put this one up .
CHI,xxx .
INV,&=gasp . [+ trn]
INV,look .
INV,look .
INV,there's the tiger .
INV,the tiger .
CHI,0 .
CHI,xxx . [+ trn]
INV,take out (.) the elephant .
CHI,xxx . [+ trn]
INV,&=gasp . [+ trn]
INV,take out the man .
CHI,yyy .
INV,there's a clown .
INV,take out the seal .
CHI,yyy .
INV,take this one out .
CHI,yyy .
CHI,xxx . [+ trn]
INV,tiger .
INV,grrr@o .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
INV,you have the clown .
INV,the clown's in the car [=! laughs] .
INV,xxx . [+ trn]
INV,xxx . [+ trn]
INV,xxx . [+ trn]
INV,beep beep .
INV,beep beep .
INV,xxx . [+ trn]
INV,xxx . [+ trn]
INV,beep beep .
INV,beep beep .
CHI,0 .
INV,the clown's in the car .
INV,I have the elephant .
INV,my turn .
INV,put it in .
CHI,0 .
INV,you put the man on the horse .
CHI,man .
INV,man .
INV,that's right .
INV,0 . [+ trn]
