participant,sentence
INV,okay we hafta turn it .
INV,and pull .
INV,help me .
INV,pull .
CHI,0 .
INV,pull the door open .
INV,are we going to go up or down ?
CHI,up .
INV,up ?
INV,okay .
INV,there's Nikki .
INV,he's going down .
INV,we're going up .
INV,going up .
INV,up .
INV,how many more ?
INV,one .
INV,two .
INV,three .
INV,three steps .
INV,three steps .
INV,ready ?
INV,we can sing a song .
INV,walking .
INV,walking .
INV,walking .
INV,walking .
INV,hop .
INV,hop .
INV,hop .
INV,hop .
INV,hop .
INV,&=gasp . [+ trn]
INV,what's next ?
CHI,xxx . [+ trn]
INV,running running running .
INV,what's next ?
INV,running running running .
CHI,xxx .
INV,now let's +...
CHI,xxx . [+ trn]
INV,stop .
INV,now let's +...
INV,stop .
INV,there's yyy .
INV,what are these Chi ?
INV,what are these ?
CHI,0 .
CHI,dots .
INV,dots .
CHI,yyy .
INV,dots .
CHI,yyy .
INV,more dots .
CHI,dots .
CHI,dots [>] .
INV,dots [<] .
CHI,dots .
INV,and dots .
CHI,dots .
INV,are these dots ?
INV,no .
INV,those aren't dots .
CHI,0 .
INV,more dots .
INV,let's count how many .
INV,one .
INV,two .
INV,three .
INV,0 . [+ trn]
CHI,xxx . [+ trn]
INV,four .
CHI,0 .
INV,five .
INV,six .
CHI,0 .
INV,are you counting ?
INV,six dots .
INV,hey we needta find the stairs and go down .
CHI,0 .
INV,we needta find the stairs .
INV,where're the dots ?
INV,where's the dots ?
INV,here's some dots .
INV,0 .
INV,more dots .
CHI,0 .
INV,more dots .
INV,do we see more dots ?
INV,yes ?
CHI,yyy .
CHI,xxx . [+ trn]
INV,look Chi .
INV,here's some kids .
INV,come here and look at the kids .
INV,&=gasp . [+ trn]
INV,look_it .
CHI,xxx .
INV,what's that ?
CHI,xxx .
INV,a +...
INV,a boy ?
CHI,xxx .
INV,where's the girl ?
CHI,0 . [+ trn]
INV,there's the girl .
INV,boys and girls .
CHI,boys yyy .
INV,yeah .
INV,what are you ?
INV,what're you ?
INV,are you a boy ?
CHI,yyy .
INV,yes .
INV,stand up .
CHI,xxx .
INV,stand up .
INV,let's go find the doors .
CHI,doors .
INV,how do we open these ?
CHI,xxx .
INV,how do we open (th)em ?
CHI,xxx .
CHI,doors .
INV,what do we needta do ?
CHI,push the door .
INV,push the door ?
CHI,xxx .
INV,down here .
INV,down here .
CHI,0 .
INV,be careful .
INV,be careful .
INV,it's bumpy .
CHI,yyy bump .
INV,bumpy .
INV,oh .
INV,should we put (th)em in the basket ?
INV,put (th)em [>] +...
CHI,xxx [<] .
INV,put (th)em +...
CHI,xxx .
INV,where should I put it ?
CHI,yyy .
INV,put it +...
INV,in the basket ?
CHI,in a [= the] [*] basket .
INV,in the basket .
INV,&=gasp . [+ trn]
INV,I have another one .
CHI,0 .
INV,where you gonna put it ?
INV,where you gonna put it ?
INV,in the basket .
CHI,yyy .
INV,in the basket .
CHI,0 .
INV,0 .
INV,I have some more .
CHI,0 .
INV,you want (th)em ?
CHI,yyy .
INV,yes ?
INV,put it +...
CHI,yyy .
INV,how many do I have ?
INV,one .
CHI,yyy [= jargon] [>] .
INV,two [<] .
INV,do you want it ?
CHI,xxx .
INV,yes ?
CHI,xxx .
INV,you want the block ?
CHI,0 .
INV,yes ?
CHI,xxx .
INV,yes .
INV,put it (.) in .
CHI,0 .
INV,last one .
INV,where should we put it ?
INV,0 .
INV,where should we put it ?
CHI,xxx .
INV,in the +...
CHI,in a [=? the] [*] basket .
INV,in the basket .
INV,here .
INV,you put it in .
CHI,0 .
INV,are they in there ?
INV,0 .
CHI,0 .
INV,shake (th)em up .
INV,how do we get (th)em out ?
CHI,xxx .
INV,we hafta reach in there .
INV,&=gasp . [+ trn]
INV,reach in .
INV,there's +/.
CHI,yyy [= jargon] .
INV,reach in the basket .
INV,pull one out .
CHI,yyy [= jargon] .
INV,let's put it right here .
INV,you put it in .
CHI,0 .
INV,&=gasp you put it in .
CHI,0 .
INV,you put it in .
CHI,xxx .
CHI,0 .
INV,there's some more blocks .
INV,there's some more .
INV,should we put (th)em in ?
INV,should we put (th)em in ?
CHI,xxx .
INV,put it in .
INV,put it in the basket .
INV,put it [>] in .
CHI,yyy [<] .
INV,do you wanna do it again ?
CHI,yyy [= jargon] .
INV,do you wanna do it again ?
CHI,xxx . [+ trn]
INV,do it again ?
INV,here's another one .
INV,put it [>] in .
CHI,0 [<] .
CHI,0 .
INV,more ?
CHI,more .
INV,more blocks ?
INV,here's more .
CHI,0 .
CHI,yyy .
INV,more ?
INV,here's more .
CHI,0 .
CHI,xxx .
CHI,more .
INV,more ?
CHI,0 .
INV,here's one more .
INV,0 .
CHI,0 .
INV,here's one more .
CHI,block .
INV,put it in .
CHI,0 .
INV,0 .
CHI,0 .
CHI,more .
INV,more .
INV,okay .
INV,one more .
CHI,0 .
CHI,xxx . [+ trn]
INV,more .
INV,okay .
CHI,yyy .
INV,I have more blocks to put in the basket .
CHI,yyy [= jargon] .
INV,0 .
INV,I have a blue block .
CHI,0 .
INV,wanna do it again ?
CHI,xxx . [+ trn]
INV,do it again .
CHI,more .
INV,more ?
INV,okay .
INV,here's one more .
CHI,0 .
CHI,I yyy more .
INV,you want more ?
INV,here's more .
CHI,0 .
INV,big one .
INV,I have a green one .
INV,green block .
CHI,I want more .
INV,you want more ?
INV,yes you can have more .
INV,two more .
CHI,more .
INV,more ?
INV,here's one more .
CHI,is there more ?
INV,there's more .
INV,here's one more .
CHI,0 .
INV,I don't have any more .
CHI,0 .
INV,are they all in there ?
INV,shake (th)em up .
INV,shake (th)em up .
INV,I put (th)em up .
INV,and down .
INV,up .
INV,0 .
INV,down .
CHI,xxx .
INV,did you find more blocks ?
CHI,xxx .
INV,did you find more ?
CHI,xxx .
INV,&=gasp . [+ trn]
CHI,yyy [= jargon] .
INV,&=gasp what do I needta do ?
CHI,xxx [>] . [+ trn]
INV,<say move> [<] please .
CHI,move .
INV,0 .
INV,they moved .
INV,&=gasp . [+ trn]
CHI,yyy [= jargon] .
INV,I've got it covered .
CHI,0 .
INV,should I (.) move my hands ?
CHI,move my hands .
INV,0 .
INV,I moved my hands .
CHI,0 .
INV,&=gasp . [+ trn]
CHI,move .
INV,move my hands .
INV,&=gasp . [+ trn]
CHI,0 .
INV,move my hands .
INV,are we finished with the blocks ?
INV,yes or no ?
CHI,no [>] .
INV,are [<] we finished ?
INV,all done with the blocks ?
INV,are we finished ?
INV,should we do the slide now ?
CHI,xxx .
INV,you wanna do the slide or the blocks ?
CHI,0 .
INV,you wanna do the slide or the blocks ?
INV,the slide ?
CHI,0 .
INV,yes ?
INV,okay we'll do the slide .
CHI,0 .
CHI,0 .
INV,you wanna do it again ?
INV,0 .
INV,you wanna do it again ?
INV,you wanna do it again ?
INV,you wanna slide again ?
CHI,xxx .
INV,climb up .
CHI,0 .
