participant,sentence
INV,where would you like to sit ?
CHI,xxx . [+ trn]
INV,right here ?
CHI,xxx . [+ trn]
INV,right here okay .
CHI,xxx . [+ trn]
INV,there's the little red caboose .
INV,look at this Chi .
CHI,0 . [+ trn]
INV,what is this ?
INV,do you see somebody sitting there ?
CHI,xxx . [+ trn]
INV,can you tell her hi ?
CHI,hi .
INV,&=gasp what's that ?
CHI,yyy .
INV,the puppy ?
INV,what's that ?
CHI,a [=? the] [*] butterfly .
INV,there's a butterfly .
INV,and a puppy .
CHI,puppy .
INV,what's this ?
INV,is it the boy ?
CHI,boy .
INV,what's that ?
CHI,yyy .
CHI,yyy ?
INV,are you looking at the camera ?
CHI,yyy .
INV,<on my leg> [>] ?
CHI,yyy [<] .
INV,oh .
INV,what is it ?
CHI,yyy .
INV,is it an owie ?
CHI,owie .
INV,an owie yeah .
INV,let's look at the book .
INV,&=gasp what do you see ?
CHI,yyy .
INV,the bird .
INV,and there's the little red caboose .
INV,the little red caboose always came +...
CHI,last .
INV,last .
INV,&=gasp what are those ?
CHI,bear .
INV,bear .
INV,let's count them .
INV,one .
CHI,0 .
INV,two .
CHI,three .
INV,three .
INV,that's right .
INV,where's the +/.
CHI,butterfly .
INV,butterfly .
INV,one two .
CHI,yyy .
INV,two butterflies .
INV,&=gasp look there .
CHI,black .
INV,the big black engine .
INV,first came the big black engine .
CHI,yyy .
INV,puffing and chuffing .
INV,then came the +...
CHI,yyy .
INV,box car .
INV,one two .
INV,&=gasp what's that ?
CHI,bus .
INV,a bus .
INV,what are those ?
INV,ponies ?
CHI,ponies .
INV,ponies .
INV,let's turn the page .
INV,then the oil cars .
INV,then the coal cars .
INV,&=gasp +...
CHI,yyy .
INV,the lion .
INV,it says +...
CHI,grrrroooow@o .
INV,grroow@o .
INV,you're right .
INV,let's turn the page .
INV,then the flat cars .
INV,sometimes they were switched around in different ways .
CHI,0 . [+ trn]
INV,&=gasp what is it ?
CHI,yyy .
INV,the little red caboose ?
INV,but the little red caboose always came +...
CHI,last .
INV,last .
INV,what's that ?
CHI,yyy .
INV,a bridge ?
CHI,yyy .
INV,that's another bridge you're right .
INV,what's this ?
CHI,yyy .
INV,it's the barn .
INV,and what are those ?
CHI,mooo@o .
INV,yeah those are cows they say moo .
INV,boys and girls waved at the +...
CHI,black .
INV,the big black engine .
INV,they listened to the box cars .
INV,"and the oil cars and the coal cars and the flat cars go clickety+clack , clickety+clack ."
INV,&=gasp . [+ trn]
CHI,bus .
INV,that's a bus .
INV,what's that ?
CHI,0 .
INV,what's that there ?
INV,what's that right there ?
CHI,yyy .
INV,is it a boy and a bike ?
CHI,bike .
INV,but by the time the little red caboose came along the boys and girls were turning away .
INV,because the little red caboose always came +...
CHI,last .
INV,last .
INV,oh smoke said the little red caboose .
INV,I wish I were a flat car or a coal car or an oil car or a +...
CHI,box .
INV,box car .
INV,so boys and girls would wave at me .
INV,how I wish I were a +...
CHI,black .
INV,a big black engine .
INV,puffing and chuffing way up at the front of the train .
INV,but I'm just an old little red caboose .
INV,nobody cares for +...
CHI,me .
INV,me .
INV,one day the train started +...
CHI,up .
INV,up .
CHI,yyy .
INV,up a mountain .
INV,up went the big black engine .
INV,up went the box cars up went the oil cars up went the coal cars up went the flat cars .
INV,and up went the little red +...
CHI,yyy .
INV,caboose .
INV,&=gasp there's the bears again .
CHI,bear .
INV,the bears .
INV,what are those ?
CHI,0 . [+ trn]
INV,can you say goat ?
CHI,yyy .
INV,they say baa@o .
CHI,baa@o .
INV,hang on tight little caboose called the flat car .
INV,this is a long tall mountain .
INV,and you are the last car on the train .
INV,don't I know it sighed the little red caboose .
INV,poor +...
CHI,me .
INV,poor me .
INV,the train went slower and slower and slower .
INV,soon it was hardly moving .
INV,it looked as_if that train could not get +...
CHI,up a [=? the] [*] yyy .
INV,up the mountain .
INV,look out little caboose called the flat car .
INV,the train is starting to slip back down this long tall mountain .
INV,not if I can help it said the little red caboose .
INV,and he slammed on his brakes .
CHI,errrrrr@o .
INV,errrrr@o .
INV,and he held tight to the tracks .
INV,and he kept that train from sliding down the mountain .
INV,&=gasp . [+ trn]
CHI,black .
INV,there's two aren't there ?
INV,two big black engines .
INV,then +...
CHI,bump .
INV,bump .
INV,the little red caboose felt something +...
CHI,yyy .
INV,push him from behind .
INV,it was two big +...
CHI,black .
INV,black engines .
INV,they pushed the train up to the top of the mountain .
INV,&=gasp what's this ?
CHI,yyy .
INV,the smoke .
INV,we couldn't have done it said the big black engines if it had not been for the little red caboose .
INV,everyone cheered .
CHI,yay !
INV,yay !
INV,and the little red caboose nearly burst with pride .
INV,now children wave at the big black engine and all the cars .
INV,what do you see ?
CHI,bus and bus .
INV,two buses .
INV,one two .
INV,what else ?
INV,what else do you see ?
CHI,airplane .
INV,an airplane .
INV,what else ?
INV,what are those ?
INV,what are these Chi ?
INV,right here .
INV,bikes ?
CHI,bikes .
INV,those are bikes .
INV,and there's the ponies .
CHI,ponies .
INV,but they save their biggest waves for the little red caboose .
INV,because the little red caboose saved the train .
INV,the end .
CHI,a [=? the] [*] end .
INV,beep beep .
INV,is your car going home ?
CHI,yyy .
INV,my car's going home now .
INV,she's tired .
INV,she wants to go to sleep .
INV,driving home .
INV,now she's going to bed .
INV,should I give her a kiss ?
CHI,kiss .
INV,oh you gave her a kiss .
INV,put her to sleep .
CHI,0 .
INV,say good night .
CHI,good night .
CHI,0 .
INV,you rang the doorbell .
INV,she's going to open the door .
INV,hello .
INV,how are you today ?
INV,can you say hi ?
