participant,sentence
INV,we needta open the door .
CHI,0 .
INV,open the door .
CHI,0 .
INV,open the door .
INV,there's cookie .
CHI,xxx . [+ trn]
INV,cookie .
INV,let's get it down .
INV,let's get it down .
INV,&=gasp . [+ trn]
INV,cookie monster .
INV,cookie monster .
CHI,0 .
INV,cookie .
CHI,&=laughs .
INV,okay .
INV,open his mouth .
INV,here's a heart cookie .
CHI,xxx .
CHI,xxx .
CHI,xxx .
INV,here's a heart cookie .
INV,put it in .
CHI,xxx . [+ trn]
INV,xxx .
CHI,xxx . [+ trn]
INV,here's the star cookie .
CHI,0 .
INV,open his mouth .
CHI,on yyy mark .
CHI,get set .
CHI,go .
INV,go .
INV,put it in .
CHI,0 .
CHI,0 .
INV,put it in .
CHI,xxx .
CHI,xxx .
INV,close the mouth .
CHI,xxx .
CHI,xxx . [+ trn]
CHI,xxx . [+ trn]
CHI,0 .
INV,there you go .
INV,put it in .
CHI,0 . [+ trn]
INV,xxx . [+ trn]
CHI,0 . [+ trn]
INV,there's a square cookie .
CHI,xxx . [+ trn]
CHI,0 .
CHI,xxx . [+ trn]
CHI,get set .
CHI,go .
CHI,0 .
INV,open his mouth .
CHI,xxx .
INV,put it in .
CHI,0 .
CHI,yyy [= jargon] .
CHI,xxx .
INV,&mm .
INV,0 .
CHI,0 . [+ trn]
INV,here's the (.) triangle cookie .
CHI,xxx . [+ trn]
CHI,mark .
CHI,get set .
CHI,go .
INV,go .
CHI,0 .
CHI,0 .
INV,<open his mouth> [>] .
CHI,xxx [<] .
INV,open his mouth .
CHI,0 .
INV,open his mouth .
INV,put it in .
CHI,0 .
CHI,0 .
CHI,0 .
INV,mmmmm@o .
CHI,xxx .
CHI,0 .
INV,here's the heart cookie .
INV,the heart cookie for Amy .
INV,I'm going to put it in .
INV,put it in .
INV,mmmmm@o .
INV,0 .
CHI,xxx . [+ trn]
INV,this is for Riley .
INV,open his mouth .
CHI,0 .
INV,put it in .
INV,&mm .
CHI,xxx [>] . [+ trn]
INV,here's the <heart cookie for Amy> [<] .
CHI,xxx .
INV,I'm going to (.) put it in .
INV,mmmm@o .
CHI,xxx . [+ trn]
INV,here's the square cookie .
INV,for Riley .
CHI,0 .
CHI,mmmm@o .
INV,&mm .
CHI,mmmm@o .
INV,mmmmm@o .
CHI,0 .
INV,here's the heart cookie for Amy .
INV,I'm gonna put it in .
INV,mmmmm@o .
CHI,0 .
CHI,0 .
INV,let's put cookie monster in the box .
CHI,0 .
INV,in the box .
INV,in the box .
INV,okay we're done .
CHI,xxx . [+ trn]
INV,bye bye cookie .
INV,bye bye cookie .
INV,on the shelf .
INV,on the shelf .
INV,on the shelf .
INV,let's go play in the sand .
