participant,sentence
CHI,xxx .
INV,&=gasp . [+ trn]
INV,it's a farm .
CHI,xxx .
INV,it's a farm .
INV,here you go .
INV,sit down .
CHI,xxx .
CHI,0 .
INV,&=gasp . [+ trn]
CHI,xxx .
INV,close it .
CHI,0 .
INV,0 .
CHI,0 .
INV,0 .
CHI,0 .
INV,close it .
CHI,0 .
INV,0 .
INV,Chi .
CHI,0 .
INV,here it comes .
INV,0 .
INV,give you a kiss .
INV,0 .
INV,0 .
INV,give you a kiss .
INV,0 .
INV,0 .
INV,0 .
INV,kiss .
INV,there you go .
CHI,0 .
INV,there's the tractor .
INV,0 .
INV,open it .
CHI,0 .
INV,he's going inside .
INV,he's going inside .
CHI,0 .
INV,inside .
CHI,0 .
INV,close it .
CHI,0 .
INV,close it .
CHI,0 .
INV,good .
INV,0 .
INV,0 [=! snorts] . [+ trn]
INV,pig goes [=! snorts] .
INV,0 [=! snorts] . [+ trn]
INV,0 .
INV,0 . [+ trn]
INV,give you a kiss .
INV,0 .
INV,0 .
INV,give you a kiss .
INV,0 .
CHI,0 .
INV,&=gasp . [+ trn]
INV,here it comes .
INV,here comes the sheep .
INV,0 .
CHI,0 .
INV,give him a kiss .
INV,0 .
INV,give him a kiss .
CHI,0 .
INV,&aw .
INV,0 .
INV,hi Michael .
INV,did you say hello to Michael ?
CHI,xxx . [+ trn]
INV,hello .
CHI,xxx . [+ trn]
INV,hello .
INV,open it .
INV,open it .
CHI,0 .
CHI,0 .
INV,let's get the tractor .
CHI,0 .
INV,there's the tractor .
INV,0 .
INV,there's the farmer .
CHI,xxx .
INV,there's the farmer .
INV,here he comes .
CHI,0 .
INV,inside .
INV,inside .
INV,put him inside .
CHI,xxx .
INV,put him inside .
CHI,xxx .
INV,okay .
INV,close it .
CHI,0 .
INV,good .
INV,0 .
INV,&=gasp . [+ trn]
INV,0 [=! snorts] . [+ trn]
INV,0 [=! snorts] . [+ trn]
INV,0 [=! snorts] . [+ trn]
INV,0 .
INV,give him a kiss .
INV,0 .
INV,0 [=! snorts] .
INV,0 [=! snorts] .
INV,that's what a pig makes .
CHI,0 .
INV,0 .
INV,move his legs .
INV,move his legs .
CHI,0 .
INV,good .
CHI,0 .
INV,move his leg .
INV,Chi .
CHI,0 .
INV,move his legs .
CHI,0 .
INV,move his legs .
CHI,0 .
INV,move his legs .
CHI,xxx . [+ trn]
INV,hi Chi .
CHI,xxx . [+ trn]
INV,hi Chi .
CHI,hi .
INV,hi .
CHI,0 .
INV,hi .
CHI,0 .
INV,Chi .
INV,hi Chi .
INV,Chi .
CHI,0 .
INV,get the tractor .
INV,get the tractor .
CHI,xxx .
INV,spin it around .
INV,get the tractor .
INV,I'm going to get the tractor .
INV,here he comes .
CHI,0 . [+ trn]
INV,back in .
INV,inside .
