participant,sentence
INV,I see a car .
CHI,0 .
INV,I see your car .
INV,you found a car .
INV,Chi .
INV,where's the house ?
INV,where's the house ?
INV,where's the house for the car ?
CHI,0 . [+ trn]
INV,&=gasp . [+ trn]
INV,is it in the closet ?
CHI,0 .
INV,in the closet .
INV,where is it ?
INV,where is it ?
CHI,0 .
INV,is this the house ?
INV,look .
INV,Chi look .
INV,look .
INV,0 .
INV,what did you find ?
CHI,0 .
INV,choo choo .
INV,you found a train .
INV,look .
INV,I got the house .
CHI,0 .
INV,choo choo .
INV,get the house .
CHI,0 .
INV,take it to the table .
CHI,0 .
INV,put it on the table .
CHI,0 .
INV,on the table .
INV,can you shut the door ?
INV,Chi shut the door .
CHI,0 .
INV,we've gotta shut the closet door .
INV,thank you .
CHI,0 .
INV,0 .
CHI,yyy .
INV,choo choo .
INV,open the house .
CHI,0 .
INV,oop .
INV,&haha it won't fit in the garage .
CHI,xxx . [+ trn]
INV,it's too big .
INV,it's too big .
INV,can you open the house ?
CHI,xxx . [+ trn]
INV,open the house .
INV,open .
CHI,<choo choo> [?] .
INV,here .
INV,put her on the train .
CHI,0 .
INV,you gonna put it up ?
CHI,0 .
INV,there's the piano .
INV,here's a five .
CHI,five .
INV,six .
CHI,six .
INV,seven .
CHI,seven .
CHI,yyy .
INV,four .
CHI,four .
CHI,0 .
INV,five .
CHI,five .
INV,you're pushing the buttons .
INV,&=gasp . [+ trn]
INV,push the button .
INV,&=gasp . [+ trn]
INV,push the button .
INV,are you making music ?
INV,let the lady make the music .
INV,&=gasp . [+ trn]
INV,she's playing the piano .
CHI,0 .
INV,gonna put her in the car ?
CHI,yyy .
INV,bye bye .
INV,you put her in the garage .
CHI,xxx .
INV,you put her in the garage .
CHI,xxx .
INV,shut the door .
CHI,xxx .
INV,shut the door .
INV,put her on the train .
INV,&=gasp . [+ trn]
CHI,bye bye .
INV,bye bye lady .
INV,put her on top .
CHI,0 .
INV,&-uh oh .
INV,they fell down .
INV,&=gasp . [+ trn]
CHI,yyy .
INV,bye bye .
INV,pick (th)em up .
CHI,0 .
INV,pick them up .
CHI,0 .
INV,thank you .
INV,you picked (th)em up .
CHI,0 .
CHI,yyy .
INV,choo choo .
CHI,0 .
INV,&=gasp . [+ trn]
INV,I've got a girl .
INV,you wanna man ?
CHI,0 .
INV,here's a man .
INV,can you make her play the piano ?
INV,0 .
INV,&=gasp . [+ trn]
INV,play the piano .
INV,&=gasp . [+ trn]
INV,on the train .
CHI,0 .
INV,&=gasp &-uh oh .
CHI,&-uh oh .
INV,&-uh oh .
INV,they fell down .
INV,&=gasp &-uh oh .
INV,they fell down .
CHI,&-uh oh .
INV,&-uh oh .
INV,crash .
INV,they fell off the table .
CHI,choo choo .
INV,choo choo .
CHI,0 .
INV,can you pick (th)em up ?
INV,pick (th)em up .
CHI,xxx .
INV,on the table .
CHI,0 .
INV,put it on the table .
INV,let's make the train go .
INV,ch_ch_ch@o .
CHI,0 .
INV,&-uh oh .
INV,put (th)em on the table .
CHI,0 .
INV,oop .
INV,dropped her .
INV,here I'll help .
