participant,sentence
INV,let's go this way Chi .
CHI,bye .
INV,bye everybody .
CHI,bye everybody .
CHI,bye .
UID,bye Chi .
CHI,bye Chi .
CHI,see you later .
INV,www .
CHI,0 .
CHI,yyy .
INV,let's go to the potty .
INV,&-uh .
CHI,it's dark .
INV,what do you needta do ?
INV,what do you needta do ?
CHI,it's dark .
CHI,what happened ?
INV,it's dark .
INV,what do we needta do ?
CHI,I need turn on light ?
INV,okay .
INV,I'll turn it on .
INV,let's go potty .
CHI,&-uh I go to a [=? the] [*] big <potty boy> [?] .
INV,that's right .
INV,you go in the big potty now .
CHI,I go to a [=? the] [*] big boy potty .
CHI,&=gasp .
CHI,yyy .
INV,there you go .
INV,oop .
INV,let's pull (th)em down a little bit more .
INV,stand up close .
INV,good .
CHI,0 .
INV,very good Chi .
CHI,it's all_gone .
INV,it's all_gone .
CHI,my tee tee's all_gone .
INV,you did a good job .
CHI,a [=? the] [*] good job .
INV,yes .
CHI,yyy stuck .
INV,oh are they stuck ?
INV,here I'll help +...
CHI,it's a baby potty .
INV,yay that's the baby potty you useta go in .
INV,now you go on the big boy potty .
CHI,it's not Chi's potty .
CHI,no .
CHI,there's Chi's sink .
INV,okay what do we needta do next ?
CHI,yyy .
CHI,&=laughs .
CHI,that's too fast .
INV,that's too fast .
INV,can you turn it down ?
CHI,0 .
INV,make it go slower .
INV,let's make it go a little slower .
CHI,faster !
CHI,I like faster .
INV,I know you like faster .
CHI,I like faster .
INV,you need some soap ?
CHI,soap .
INV,0 .
INV,there you go .
CHI,0 .
INV,rub (th)em .
CHI,look at a [=? the] [*] bubbles .
INV,&-uh .
INV,(I)'m gonna pop (th)em .
INV,pop .
CHI,xxx .
INV,okay .
INV,very good .
INV,can you turn the water off ?
CHI,0 .
CHI,xxx . [+ trn]
CHI,a [=? the] [*] bubbles yyy is gone .
INV,that's right .
INV,all down the drain .
CHI,yyy dirty .
INV,let's rinse off just a little .
CHI,yyy take a [=? the] [*] bath .
CHI,yyy .
INV,there you go .
CHI,it's okay .
INV,now we needta dry our hands .
CHI,0 .
INV,turn it off Chi .
INV,let's turn the water off .
CHI,0 .
INV,0 . [+ trn]
CHI,0 .
INV,turn it off .
INV,Chi .
INV,turn the water off .
CHI,0 .
INV,good .
CHI,0 .
INV,oop .
CHI,0 .
INV,leave it off .
INV,there .
CHI,0 .
INV,pull it .
CHI,0 .
INV,oop .
CHI,oop .
INV,thank you .
CHI,yyy Exp .
INV,0 .
CHI,yyy Exp .
CHI,I think I can .
INV,yeah you can .
CHI,I think I can .
INV,dry your hands .
CHI,xxx .
INV,Chi where should I sit ?
CHI,&-um &-uh Exp sit .
CHI,sit down Exp .
INV,where should I sit ?
CHI,0 .
INV,should I sit in your chair ?
CHI,yes .
INV,I should ?
INV,okay I'm gonna sit in your chair .
CHI,his ears are broken .
INV,should I sit in your chair ?
CHI,yes .
INV,I've gotta sit in your lap then .
CHI,it's a baby .
CHI,it's a baby .
INV,Chi .
INV,or should I sit in my chair ?
CHI,it's Chi .
INV,is that Chi ?
CHI,Chi baby .
INV,that's a Mr Potato Head baby .
CHI,it's tomato baby .
INV,I'm gonna sit in my chair .
CHI,0 [=! coughs] .
CHI,a [=? the] [*] big tomato head .
CHI,big tomato head .
CHI,yyy .
CHI,big shoes .
CHI,0 .
CHI,0 .
INV,now he can stand up .
CHI,&-um his mouth .
CHI,it's daddy !
INV,&=gasp . [+ trn]
INV,is that the daddy potato head ?
CHI,yes .
CHI,0 .
CHI,0 .
INV,xxx . [+ trn]
CHI,Sam is crying .
INV,I hear Sam crying .
INV,he's not very happy .
CHI,0 .
INV,you wanna go see what he's doin(g) ?
INV,0 .
INV,he's playing balloons with Diane .
CHI,he's crying .
INV,he's not crying anymore .
INV,I think he's having more fun now .
INV,let's play with the potato head .
CHI,&=gasp . [+ trn]
CHI,a [=? the] [*] balloon is flying .
INV,Diane was making that balloon fly .
CHI,xxx .
INV,I'm gonna put some ears on this potato head .
CHI,yyy .
INV,Chi .
INV,look .
INV,I'm gonna put some [/] some ears on this potato head .
CHI,xxx .
CHI,it's a baby .
CHI,it's a baby .
CHI,0 [=! smacks] .
CHI,0 .
CHI,xxx .
CHI,yyy .
INV,what does this potato head need ?
CHI,I found a [=? the] [*] pipe .
INV,you found the pipe ?
INV,where is it ?
CHI,a [=? the] [*] pipe is gone .
INV,is it in the box ?
CHI,yes .
INV,where ?
CHI,yes .
CHI,yes .
INV,did you find it ?
CHI,I +...
CHI,I found a [=? the] [*] pipe right here .
INV,I don't see the pipe .
INV,I think it's missing .
CHI,a [=? the] [*] yyy .
CHI,yyy yyy mommy .
INV,the mommy needs the handbag .
CHI,bag .
INV,mhm .
CHI,it's Chi's bag .
CHI,goodbye a [=? the] [*] mommy .
CHI,goodbye .
CHI,yyy .
INV,Chi .
INV,this potato head needs a face .
INV,can you make a face ?
INV,put a face on that (.) potato head .
CHI,her eyes .
CHI,her eyes are down .
INV,I'm gonna put some eyes on mine .
CHI,yyy baby my baby .
INV,Chi .
INV,look at this face .
INV,is that where the eyes go ?
CHI,yes [=! laughs] .
INV,do you think so ?
CHI,no .
INV,no .
INV,I think they go up here .
CHI,yyy yyy right here .
INV,do those eyes go on top of her head ?
CHI,&haha yes .
INV,&=laughs .
INV,no .
CHI,yyy .
INV,look (a)t that .
INV,that's silly .
INV,I see you .
INV,that's not where her eyes go .
CHI,a [=? the] [*] helicopter .
INV,no she's not a helicopter .
INV,she's a potato head .
INV,and those are her eyes .
CHI,a [=? the] [*] helicopter .
CHI,0 [=! coughs] .
CHI,yyy [= jargon] .
CHI,yyy [= jargon] .
CHI,yyy [= jargon] .
INV,Chi this is a potato head .
CHI,0 .
INV,it's not a helicopter .
INV,you can put a face on her .
CHI,a [=? the] [*] face on helicopter .
CHI,xxx .
CHI,0 [=! smacks] . [+ trn]
INV,I'm gonna put this hat on the potato head .
CHI,a [=? the] [*] hat .
INV,look how pretty .
CHI,xxx .
CHI,xxx .
CHI,I broke it .
CHI,I broke a [=? the] [*] baby .
INV,did you break it or you just pulled the shoes off ?
INV,you didn't break it .
CHI,0 .
INV,you can stick it back on .
CHI,a [=? the] [*] pipe is inside .
INV,what's inside ?
CHI,&-um &-uh .
CHI,&-um &-uh yyy found a [=? the] [*] pipe .
INV,think so ?
CHI,yyy pipe .
INV,open it .
CHI,yyy yyy .
CHI,I need help .
INV,okay I'll help you .
INV,let's see if I can get it open .
CHI,&=gasp . [+ trn]
INV,&=gasp . [+ trn]
CHI,it's a [=? the] [*] pipe .
INV,you hid it .
INV,&=laughs .
CHI,I did find them .
INV,you hid it in the little boy .
CHI,I found a [=? the] [*] pipe .
CHI,xxx . [+ trn]
CHI,let's open this .
INV,open it up .
INV,Spot is painting .
INV,this is such a pretty picture .
INV,do you wanna look at it ?
CHI,&=gasp . [+ trn]
CHI,Spot's yyy .
INV,&=gasp . [+ trn]
INV,it says (.) Spot goes to school .
INV,you're at school right now .
INV,&=gasp . [+ trn]
INV,Spot starts school today .
INV,is that Spot ?
CHI,yes .
INV,he's got his lunch pail .
INV,his mommy's walking him to school .
INV,0 .
INV,good morning Mrs Bear .
INV,she says welcome to our class Spot .
INV,should you open the door and see what's inside ?
CHI,0 .
INV,&=gasp . [+ trn]
INV,look !
INV,who's in there ?
CHI,bear .
INV,who's inside the door ?
CHI,it's a [=? the] [*] bear .
INV,look inside .
INV,who else ?
CHI,0 [=! smacks] . [+ trn]
INV,oh .
CHI,I kiss a [=? the] [*] bear .
INV,you kissed the bear .
INV,you're being silly .
CHI,xxx .
INV,who's in the room Chi ?
CHI,that's silly .
INV,the turtle says (.) hi Spot .
CHI,it's a [=? the] [*] happy turtle .
INV,he's got a smile .
INV,he's happy .
INV,what else is in here ?
CHI,Spot is happy .
CHI,a [=? the] [*] momma is happy .
INV,they're happy (be)cause he's going to school today .
CHI,0 .
INV,he's gonna learn a lot and be a good boy .
CHI,0 .
INV,0 .
INV,let's start with a little song .
CHI,yyy .
INV,can you hear me ?
CHI,&-uh huh .
INV,at the play+house .
INV,what's inside the play+house Chi .
CHI,0 .
CHI,it [/] it's an indian .
INV,he dressed up like an indian .
INV,he has a feather on his head .
CHI,0 .
CHI,knock knock .
INV,look the monkey has a flower hat on .
INV,and what does the alligator have on ?
CHI,xxx .
INV,he has a soldier hat .
CHI,it's a [=? the] [*] soldier hat .
INV,that's right .
INV,0 .
INV,look .
INV,Spot has made a word .
INV,what do you think that says ?
CHI,d@l o@l g@l .
INV,good .
CHI,dog .
INV,very good .
INV,d@l o@l g@l dog .
INV,should I open this ?
INV,what's this ?
INV,oh the turtle is asking what d@l o@l g@l spells .
INV,but we know it spells dog .
INV,0 .
CHI,0 .
INV,&=gasp . [+ trn]
INV,the play+ground is fun .
INV,look he's climbing on the monkey_bars .
INV,&=gasp what's the hippo doing ?
CHI,hippo's down a [=? the] [*] slide .
INV,he's going down the slide .
INV,we slide a lot don't we ?
CHI,alligator's down .
INV,where's Spot ?
CHI,0 .
INV,&=gasp . [+ trn]
CHI,there's Spot .
CHI,an(d) alligator (.) is down .
INV,he's down and Spot is +...
CHI,it's a [=? the] [*] airplane .
INV,no this is a see saw .
INV,this isn't an airplane .
INV,this is a see saw .
INV,they're riding on it .
CHI,they're riding airplane .
INV,no it's not an airplane .
CHI,it's a [= an] [*] airplane !
INV,Chi .
CHI,Gail fall down .
INV,no Gail's not gonna fall down .
INV,I'm gonna sit up and read this book .
CHI,a c@l .
CHI,it's a c@l .
INV,it's a bracelet .
INV,it looks like a c@l but it's a bracelet .
CHI,it's a c@l .
CHI,it's a bracelet .
INV,are you gonna wear it ?
CHI,0 .
INV,oh it looks lovely on you .
CHI,it's a c@l .
INV,0 .
CHI,0 .
INV,can you put it back on my wrist ?
CHI,no .
CHI,a c@l .
INV,what does c@l stand for ?
CHI,c@l is Chi .
INV,that's right [=! laughs] .
INV,c@l is for Chi .
INV,can you put it on my wrist ?
CHI,no .
CHI,Chi's wrist .
INV,you wanna put it +//.
INV,okay .
INV,want some help ?
CHI,yes .
INV,0 .
INV,there .
INV,oh it looks fabulous .
CHI,0 .
