participant,sentence
CHI,0 .
INV,buckets .
CHI,0 .
INV,"uhoh , Carson ."
INV,"sorry , Andrew ."
CHI,0 .
INV,is this your bucket ?
CHI,my bucket .
INV,is that Carson's bucket ?
CHI,yyy .
CHI,yyy .
CHI,yyy .
CHI,a barn .
INV,a barn .
INV,that's right .
CHI,a barn .
INV,a barn .
CHI,a barn .
CHI,a barn .
INV,0 .
CHI,bus .
INV,"you need the bus , too ?"
CHI,0 .
CHI,0 .
INV,the bus ?
CHI,a bus .
INV,watch your head .
CHI,xxx . [+ trn]
INV,the bus .
CHI,a bus .
INV,you want me to get the bus ?
CHI,xxx . [+ trn]
INV,Carson .
CHI,a bus .
INV,you got the bus .
INV,good job .
CHI,a (.) a bus .
INV,that's right .
INV,a bus .
CHI,a bus .
CHI,0 .
INV,0 .
INV,what goes in the bus ?
CHI,0 [=! intvoc] .
INV,who goes in the bus ?
CHI,0 .
CHI,open .
INV,open .
CHI,0 .
INV,who goes in the bus ?
CHI,0 .
INV,Carson .
INV,the kids on the bus go .
CHI,0 .
INV,up .
CHI,up and down .
INV,and down .
CHI,0 .
INV,up .
INV,and down .
INV,up and down .
CHI,0 .
INV,the kids on the bus go .
CHI,up .
INV,up and .
CHI,down .
INV,down .
INV,early in the morning .
CHI,yay .
INV,yay .
INV,where are the kids ?
INV,the people .
CHI,people .
INV,where are they ?
CHI,ah people .
INV,there are the people .
CHI,ah .
CHI,the people .
INV,ah .
INV,where's the boy ?
CHI,0 .
INV,where's the boy ?
INV,you have the farmer .
CHI,0 .
CHI,a dog .
INV,&-uh huh .
INV,a dog .
CHI,woof .
INV,woof .
INV,0 .
CHI,&=laughs .
INV,0 .
CHI,&=laughs .
INV,&=laughs .
INV,where's the boy ?
CHI,0 .
INV,here's the girl .
INV,here's the farmer .
CHI,dog .
INV,the dog .
INV,here's the other farmer .
INV,where's the boy ?
CHI,0 .
INV,0 .
INV,is that the boy ?
CHI,the boy .
INV,the boy .
INV,the boy wants to ride the horse .
CHI,0 .
INV,he wants to ride the horse .
CHI,a horse .
INV,a horse .
CHI,the horse .
CHI,0 .
INV,yeah .
INV,dum_dee_dum@si .
INV,he rode the horsie .
CHI,xxx .
INV,what are you doing ?
CHI,a horse .
INV,a horse .
CHI,0 .
CHI,a dog .
INV,it's time for the kids to go to school .
CHI,a school bus .
INV,gonna go on the school bus .
CHI,school bus .
INV,we needta get on the school bus .
CHI,yyy bus .
CHI,0 .
INV,there's only one kid on the bus .
CHI,on the bus [?] .
CHI,a bus .
CHI,0 .
INV,"who else needs to go on the bus , Chi ?"
CHI,a bus .
INV,who else needs to go ?
CHI,0 .
INV,the farmer did ?
CHI,xxx . [+ trn]
INV,what about the girl ?
CHI,0 .
CHI,0 .
CHI,0 .
INV,where's the girl ?
CHI,0 .
CHI,0 .
INV,where's the girl ?
CHI,0 .
INV,0 .
CHI,xxx .
INV,there's the girl .
CHI,a girl .
INV,the girl .
CHI,0 .
INV,she's on the bus .
INV,who else needs to go on the bus ?
CHI,0 .
INV,one more person .
CHI,open .
INV,one more needs to go on the bus .
CHI,a bus .
INV,Chi .
INV,Chi .
CHI,0 .
INV,one more .
CHI,0 [=! wa] . [+ trn]
CHI,open .
INV,0 .
INV,he needs to go on the bus .
CHI,yyy bus .
CHI,bus .
INV,they're off to school .
CHI,on a school bus .
INV,going to school .
CHI,on a school bus .
INV,school bus .
CHI,on a school bus .
INV,do you wanna sing ?
CHI,go .
INV,ready ?
CHI,go .
INV,the wheels on the bus go .
CHI,0 .
INV,(a)round and (a)round .
INV,(a)round and (a)round .
INV,(a)round and (a)round .
INV,the wheels on the bus go (a)round and (a)round .
CHI,0 .
INV,early in the morning .
CHI,yay .
INV,yay .
INV,what else ?
CHI,xxx .
INV,you wanna sing about the kids ?
CHI,the kids .
INV,the kids .
CHI,xxx . [+ trn]
INV,no ?
CHI,no .
INV,no .
CHI,go .
INV,yes .
CHI,yes .
INV,okay .
INV,the kids on the bus go .
CHI,0 .
INV,up .
INV,and down .
CHI,0 .
INV,up and down .
INV,up and down .
INV,the kids on the bus go .
CHI,up .
INV,up and .
CHI,down .
INV,down .
INV,early in the morning .
INV,&=gasp . [+ trn]
CHI,yay .
INV,yay .
CHI,the sheep .
INV,yep .
INV,there's the sheep .
CHI,baa .
INV,baa .
INV,baa .
INV,the sheep is hungry .
INV,can you feed him ?
CHI,0 .
INV,xxx . [+ trn]
CHI,&=laughs .
INV,xxx . [+ trn]
CHI,&=laughs .
INV,&mm yummy .
INV,thank you says the sheep .
INV,&mm .
CHI,0 .
INV,the horsie is hungry too .
CHI,yyy .
INV,xxx . [+ trn]
CHI,&=laughs .
INV,xxx . [+ trn]
CHI,&=laughs .
INV,xxx . [+ trn]
INV,&mm .
INV,yummy says the horsie .
CHI,0 .
INV,yummy .
INV,thank you .
CHI,0 .
INV,that horse is hungry too ?
INV,xxx . [+ trn]
CHI,&=laughs .
INV,xxx . [+ trn]
CHI,&=laughs .
INV,&=laughs .
INV,&mm .
INV,yummy .
INV,yummy .
INV,we both have glitter on our faces .
INV,glitter .
CHI,0 [=! sighs] .
INV,see it ?
CHI,yyy green .
INV,green .
INV,yeah .
INV,on your hand too .
CHI,0 . [+ trn]
CHI,on hand .
INV,on your hand .
CHI,0 .
INV,want it off ?
INV,get it off .
INV,get it off .
INV,it's still there .
CHI,yyy green .
INV,green .
INV,okay .
INV,can you put the chicken in the wagon for me ?
CHI,0 .
INV,the chicken .
CHI,0 .
INV,thank you .
CHI,0 .
INV,in the .
INV,oh .
INV,he's hungry ?
INV,xxx . [+ trn]
INV,xxx . [+ trn]
CHI,&=laughs .
INV,yummy .
INV,thank you .
INV,now can you put him in the wagon ?
CHI,0 .
INV,it's time to go for a ride .
CHI,0 .
INV,take him for a ride .
INV,in the barn .
CHI,a barn .
INV,a barn .
CHI,a barn .
CHI,a barn .
CHI,a barn .
INV,"bye bye , chicken ."
CHI,yyy .
CHI,yyy chicken .
INV,"bye bye , chicken ."
CHI,"bye , chicken [?] ."
INV,you needta move that .
CHI,0 .
INV,there .
INV,&=gasp .
INV,where's the chicken ?
CHI,0 .
INV,oh .
INV,there he is .
CHI,a chicken .
INV,chicken .
CHI,a chicken .
INV,&mm hm: .
INV,who else is hungry ?
CHI,0 .
INV,did the dog eat his breakfast ?
CHI,0 .
INV,did the dog eat his breakfast stuff ?
INV,there's James .
CHI,0 .
INV,James .
INV,"you have the dog , Chi ."
CHI,dog .
INV,I'm hungry .
CHI,0 .
INV,xxx . [+ trn]
CHI,xxx .
INV,make him eat .
CHI,0 .
INV,xxx . [+ trn]
CHI,&=laughs .
INV,&=laughs .
INV,xxx . [+ trn]
CHI,0 .
INV,&mm .
INV,okay .
INV,he's full .
CHI,0 .
INV,thank you he says .
INV,&mm .
CHI,0 .
INV,give him a kiss ?
CHI,0 .
INV,that was nice .
CHI,0 .
CHI,&=laughs .
INV,you're silly .
CHI,0 .
INV,xxx . [+ trn]
CHI,&=laughs .
INV,&=laughs .
INV,he's still hungry ?
CHI,yyy [= jargon] .
CHI,yyy [= jargon] .
CHI,0 .
CHI,0 .
CHI,a bus .
INV,are the kids at school still ?
CHI,yyy [= jargon] .
CHI,bus .
CHI,yyy [= jargon] .
CHI,bus .
CHI,yyy [= jargon] .
INV,&mm hm: .
INV,what did you say ?
