participant,sentence
MOT,okay can I have some tea please ?
MOT,do you have any sugar ?
CHI,ah .
MOT,can I have a little bit of sugar please .
CHI,xxx .
MOT,oh thank_you and what about lemon ?
CHI,oh here .
MOT,can I have some lemon ?
MOT,oh thank_you .
MOT,&=sips delicious !
MOT,are you gonna have some ?
CHI,mhm this is the way .
MOT,so what's your baby's name ?
CHI,&-um .
MOT,pardon ?
CHI,xxx .
MOT,Clara ?
MOT,how old is she ?
CHI,five .
MOT,she's five ?
MOT,wow .
MOT,so what are you doing today ?
CHI,&-um we're going to a store then church then movies .
MOT,oh so you're gonna go for a visit ?
CHI,yeah .
MOT,okay so what else do you have in your box ?
CHI,"ah, ah I have cake ."
MOT,you have a piece of cake ?
MOT,could I have a piece of cake ?
CHI,yeah .
MOT,okay .
MOT,what kind of cake is it ?
CHI,it's chocolate .
MOT,oh my favorite &=laughs .
CHI,here's my phone .
MOT,oh there's your phone .
CHI,yeah .
MOT,are you waiting for a phone call ?
CHI,yeah .
MOT,oh there's a little horsie on it .
CHI,yeah .
MOT,oh that's nice .
MOT,"so do you have that chocolate cake, oh look when you press the button it changes ."
MOT,oh no it's just a hologram .
MOT,should we build a tower ?
CHI,yeah lets build a tower .
MOT,okay .
CHI,xxx .
CHI,"this is a be a, a station ."
MOT,a station (o)kay .
CHI,yeah here put this on top .
MOT,oh <wait here> [x 2] .
MOT,make an elevated highway .
MOT,you like that ?
CHI,yeah .
MOT,oh there .
MOT,okay look and I'll put this .
MOT,oh [x 2] it's gonna fall oh no !
MOT,are you gonna put the last one on ?
MOT,it's (be)cause we're on the carpet .
MOT,put the last one on top .
MOT,way up top .
MOT,lets see if it falls .
MOT,woah we did it !
MOT,lets put the bottle on top .
MOT,oh no that's not gonna stay .
CHI,xxx .
MOT,it's &b the Eiffel_Tower &=laughs ?
CHI,yeah .
MOT,it's more like L_Arc_De_Triomphe no ?
CHI,yes .
MOT,what's this ?
MOT,that's not a block .
CHI,yes it's not a block .
CHI,it's this brush .
MOT,it's a brush .
CHI,yeah .
MOT,is that another baby ?
CHI,yeah .
MOT,what's her name ?
CHI,&-um Cara .
MOT,Cara ?
MOT,Cara and Clara are they sisters ?
CHI,yeah they're sisters .
MOT,oh she's taking care of her .
CHI,"she's &ki, kissing her head ."
MOT,oh she's kissing her head ?
MOT,do you do that to Marcus ?
CHI,yeah .
MOT,yeah .
CHI,xxx .
MOT,and what's this ?
MOT,hm: ?
CHI,that's a truck !
MOT,oh should we put somebody in the truck ?
CHI,yeah .
MOT,and go for a ride .
MOT,the phone ?
CHI,yeah .
MOT,&=laughs (o)kay .
CHI,xxx .
MOT,"should we fix her hair, her ponytail ?"
CHI,where's Catherine and Sarah ?
MOT,Catherine and Sarah ?
CHI,yeah .
MOT,"they're ah, Sarah's in school +..."
MOT,both of them are in school .
CHI,oh .
MOT,why you were thinking about them ?
CHI,"I, I'm the mommy ."
MOT,oh you're the mommy ?
CHI,yeah .
MOT,but this is Clara and Cara right ?
CHI,yeah .
MOT,were you change their names ?
CHI,Tara .
MOT,oh Tara ?
MOT,okay .
CHI,this is Tara and that's Cara .
MOT,and how old are they again ?
CHI,"&-um they're, that's five +/."
MOT,that's five .
CHI,"+, and that's Sarah ."
MOT,and how old is she ?
CHI,&-um four .
