participant,sentence
MOT,what animal's on there Tracy ?
CHI,hm: horsie ?
MOT,horsie ?
MOT,it's a horsie phone ?
MOT,that's pretty neat .
MOT,can you call someone on that ?
CHI,&-uh I wanna find another thing .
MOT,you wanna find something else ?
MOT,let's see what we have in here .
MOT,oh we have a baby brush .
MOT,you wanna brush her hair ?
CHI,hm: no .
MOT,no ?
MOT,&=laughs we'll leave that with her .
MOT,baby bottle ?
MOT,do you wanna give her baby bottle ?
CHI,no !
MOT,no ?
MOT,you sure ?
MOT,look it fits right in there .
MOT,look oh .
CHI,no .
MOT,no ?
MOT,okay we'll leave the baby stuff over there .
CHI,play with this !
MOT,oh you wanna play with the blocks .
MOT,alright let's take them out .
MOT,you gonna help me take them out sweetie ?
MOT,we'll make a tower ?
MOT,what do you wanna make with it ?
CHI,xxx .
MOT,you're not sure ?
MOT,alright .
MOT,what we gonna make .
MOT,you wanna put your phone down ?
MOT,let's see we wanna make a +/.
CHI,xxx .
MOT,what's that ?
MOT,spoon !
MOT,I guess that's to feed the baby too .
MOT,you don't wanna play with her right ?
CHI,nah !
MOT,no ?
MOT,okay .
CHI,too babyish !
MOT,too babyish &=laughs ?
MOT,alright .
MOT,so teacups ?
MOT,would you like to have a tea_party ?
CHI,hm: ye(a)h .
MOT,ye(a)h alright what would you prefer to do .
MOT,you wanna &m build a tower now ?
MOT,or do you wanna have tea first ?
CHI,hm: tea .
MOT,tea first ?
MOT,okay aw at least you have a teacup .
MOT,"the boil, you hafta make sure the tea's all ready and then I, you needta pour some in our cups for us, so that we have enough tea ."
MOT,mm: that looks good .
MOT,what kind of tea is it ?
CHI,hm: 0 .
MOT,you don't know &=laughs +!?
MOT,what kind of tea do you like ?
CHI,hm: watermelon tea .
MOT,watermelon tea +!?
MOT,what about what Pierre gets at bedtime ?
MOT,you like that tea .
MOT,what does he get ?
CHI,hm: I don't get xxx .
MOT,chamomile .
CHI,oh chamomile tea !
MOT,chamomile tea .
MOT,"that's a nice tea to have with a little bit, what do you put inside of it usually ?"
CHI,hm: tea .
MOT,something sweet .
CHI,xxx tea ?
MOT,ye(a)h tea and then to make it a little sweeter what do we put inside ?
MOT,do you remember ?
CHI,no !
MOT,xxx honey ?
CHI,honey and +...
MOT,"honey, ye(a)h I put a little honey in there ."
MOT,so are we gonna have our tea together ?
MOT,are you gonna make a phone+call first ?
MOT,who you gonna call ?
MOT,call Daddy ?
MOT,alright call Daddy and tell him what you're doing .
MOT,tell him what you're doing .
CHI,but I +...
CHI,it's not really a real phone .
MOT,it's not a real phone &=laughs ?
CHI,that's why .
MOT,you can pretend then .
MOT,that's why <it's not> [x 2] super fun right now (be)cause it doesn't work .
CHI,ye(a)h .
MOT,you like the real thing &eh ?
MOT,oh and are we gonna have something to eat too ?
CHI,no xxx like babies .
MOT,no look I think the cups go on there and then we can put something on there to eat .
MOT,do you wanna make me something to eat ?
CHI,hm: I don't know what I wanna do .
MOT,you don't know what you wanna do .
MOT,okay well that can be your saucer and this can be mine .
CHI,ye(a)h .
MOT,alright have we finished our tea ?
CHI,not yet .
MOT,are we still drinking it ?
CHI,xxx .
MOT,let me see if it's too hot .
MOT,&oo it's a little hot !
CHI,&=laughs .
MOT,<we should wait> [x 2] .
MOT,blow on it a bit .
MOT,put it here .
CHI,hey how about add some honey +!?
MOT,oh you can add honey to mine .
MOT,add some honey ?
CHI,hm: this is honey .
MOT,that's honey too ?
MOT,okay put a little honey .
CHI,&eh &eh .
MOT,sweeten it .
MOT,there we go .
MOT,mm: you hafta stir it up (be)cause honey usually makes it pretty sweet at the bottom .
MOT,here the stirrers .
MOT,I'll stir mine .
MOT,mm: it's gonna be sweet delicious tea !
MOT,xxx +/.
CHI,all finished now .
MOT,all finished ?
MOT,okay taste it .
MOT,mm: that was delicious !
MOT,oh that is so good you drank all your tea in one gulp &=laughs !
CHI,I want some more !
MOT,some more ?
MOT,okay here we go .
MOT,mm: delicious tea +/.
CHI,xxx .
MOT,"+, the same kind of tea you're making me ?"
CHI,xxx ye(a)h .
MOT,what was it again ?
CHI,&-uh cranberry ?
MOT,cranberry tea this time ?
