participant,sentence
MOT,should we have some tea ?
MOT,let's see what else we need xxx .
CHI,&e &e the baby xxx .
MOT,and the baby ?
MOT,does she want tea too ?
CHI,no .
MOT,"no, she's gonna have her bottle ."
MOT,"okay &a, that's a good idea ."
MOT,so you give your baby the bottle and then we can have &sa cup of tea .
MOT,what do you think ?
CHI,yes .
MOT,ye(a)h okay .
CHI,she loves [x 3] +/.
MOT,her bottle .
MOT,now would you like some tea .
CHI,ye(a)h .
MOT,okay I'll pour some tea in there .
CHI,and xxx .
MOT,now what else would you like ?
CHI,I +/.
MOT,would you like some sugar in there ?
CHI,yes .
MOT,(o)kay put them in there .
MOT,do you wanna mix it up for me ?
MOT,here you mix it up .
MOT,I'm gonna have some sugar in mine too and I'll mix it up ?
MOT,you wanna take a sip &=sips .
CHI,what take xxx .
MOT,"oh she's too busy &ea, having her bottle ?"
MOT,you want me to hold the baby for you while you take &y your tea ?
CHI,no .
MOT,no you're gonna hold her ?
CHI,yes .
MOT,okay .
CHI,she loves milk .
MOT,she loves milk okay &=laughs .
MOT,alright let's see what else we got here .
CHI,<she wants> [x 2] to play her toys xxx .
MOT,<do you wanna put her> [x 2] back in there for now and then we can have some tea ?
CHI,no .
MOT,"no, what else do you wanna play with ?"
CHI,I needta xxx .
CHI,"I wanna, I don't wanna play with this anymore ."
MOT,you don't wanna play with the tea+set ?
MOT,should we put it back in the box ?
CHI,0 .
MOT,alright .
MOT,can you help me put it back in the box please .
CHI,yes .
MOT,"alright, I'm gonna call you ."
MOT,you wanna take your cell+phone .
CHI,no &=groans .
MOT,&jus grandma's on the phone .
CHI,I don't want phone .
MOT,no ?
MOT,"you just wanna &f, you wanna play with your baby eh ?"
MOT,well I'm gonna get a baby too .
MOT,I'm gonna brush her her hair &=hums .
MOT,oh sorry I'm brushing your hair .
MOT,I got confused .
CHI,don't brush my hair .
MOT,oh just the baby's hair ?
CHI,yes .
MOT,alright I'll brush her hair .
CHI,she loves this .
MOT,she does eh ?
CHI,she loves to take her hat off .
MOT,oh does she ?
CHI,I don't want her hat .
MOT,okay well then you don't hafta put it on .
MOT,does her head get hot ?
MOT,is that why she takes her hat off ?
CHI,yes .
MOT,ye(a)h .
CHI,"that's why he just, she just gets a little [x 2] rest by this ."
MOT,okay .
MOT,that's a lot of milk you're giving her .
MOT,I'm gonna check out the blocks .
CHI,you get to build a tower .
MOT,I'm gonna build something .
CHI,what are you get to build .
MOT,I dunno .
MOT,do you wanna help me ?
CHI,no thank_you .
MOT,no ?
CHI,I'm okay .
MOT,"you're okay, alright well I'm gonna build something ."
CHI,I &jus +/.
MOT,"aw what do you think I &sh, I think I'll put the blue ones on the bottom ."
CHI,and you put the yellow ones +...
MOT,next ?
CHI,yes .
MOT,do you think this is good ?
MOT,so what should I do next ?
CHI,you put the orange ones on the top .
MOT,okay .
MOT,what do you think of that ?
CHI,what's that ?
MOT,do you like that ?
CHI,yes .
CHI,what's that could be ?
MOT,"it's a &t, it's a tea tower ."
MOT,how's that ?
MOT,(o)kay it's in her mouth sweetie .
MOT,she's fine &=laughs .
MOT,now listen .
MOT,"do you wanna try putting these blocks, oh &l oh I forgot a block ."
MOT,where should we put this guy ?
CHI,&th that fit here .
MOT,here ?
MOT,alright .
MOT,I'm gonna try doing something different with these .
MOT,do you wanna help me ?
CHI,"yes, no [x 5] ."
MOT,(o)kay .
CHI,the baby wants to help too .
MOT,oh she does ?
MOT,"okay well what does &th, what does the baby want me to do ?"
CHI,no I wanna hold her .
MOT,you can hold her .
CHI,here you go .
MOT,thank_you .
MOT,"okay you can hold her but now that you have a free hand you can &-um, help me with the blocks ."
CHI,&wee &=laughs .
MOT,oh she's &=laughs .
CHI,that tickles .
MOT,that tickles ?
