participant,sentence
MOT,hi &=laughs .
MOT,"oh you wanna talk to Lance, okay here ."
MOT,it's for you .
MOT,say hello .
MOT,say hello .
CHI,xxx .
MOT,hello .
MOT,"sit down, so I can see you ."
MOT,thank_you .
MOT,hello ?
MOT,hello are you there ?
MOT,hi what are you doing to me Lance &=laughs ?
MOT,okay bye !
MOT,"press &th, press off ."
MOT,press off !
MOT,turn it off .
MOT,look !
MOT,okay you gonna dial ?
MOT,dial the numbers .
MOT,&di [x 7] &brr [x 2] .
CHI,hello ?
MOT,hello ?
MOT,&=laughs is it for me ?
MOT,is it for me ?
CHI,&eh [x 2] .
MOT,is it for me ?
MOT,no ?
MOT,beep@o [x 3] .
MOT,is it for her ?
MOT,what's her name ?
MOT,Sophie ?
MOT,her name's Sophie ?
MOT,&dahring [x 2] hello ?
MOT,&dahring you better answer !
MOT,say hello .
MOT,hello ?
MOT,hi how are you ?
CHI,xxx .
MOT,yes is it Nana ?
MOT,on the phone ?
MOT,are you pressing the buttons ?
MOT,your turn ?
MOT,hello [x 3] !
MOT,"oh it's Lance's, okay ."
MOT,&-um .
CHI,eidai@b .
MOT,oh she wants her bottle .
MOT,look she just woke up .
MOT,she wants her bottle .
MOT,are you gonna give her her bottle ?
MOT,hm: ?
MOT,like that ?
MOT,xxx dodo@s:fra ?
MOT,can you go to sleep ?
MOT,she's drinking her milk ?
MOT,you gonna give her her bottle now ?
MOT,yeah she wants her milk eh ?
MOT,she wants her bottle mm: &=sips .
MOT,she's having her milk .
MOT,(o)kay oh she's done !
MOT,thank_you !
MOT,"and more [x 2] milk, more bottle ."
CHI,dodeh@b .
MOT,dodo@s:fra time ?
MOT,c'est@s:fra le@s:fra temp@s:fra de@s:fra faire@s:fra dodo@s:fra ?
MOT,what about this baby ?
MOT,this baby's smaller .
MOT,does she want a bottle too ?
MOT,is it a girl or a boy ?
MOT,"little boy in pink, in purple ."
CHI,&huh .
MOT,"yeah what's &wh, what happened to her eye ?"
MOT,it's open ?
MOT,oh she woke up !
MOT,see her eyes open when she sits up .
MOT,she's awake !
MOT,maybe she's hungry .
MOT,you wanna feed her ?
MOT,&=eats here you could do it .
MOT,"here you take that one, I'll take this one ."
MOT,yeah that's right she's hungry .
MOT,"what about baby, this baby ."
MOT,"&=eats what are they eating, breakfast ?"
MOT,oatmeal ?
MOT,"&=eats mhm, we hafta feed the babies huh ?"
MOT,&=laughs oh she fell down !
MOT,hey &=laughs !
CHI,&=laughs .
MOT,she fell down !
MOT,"well maybe she wants something to drink, ready ?"
MOT,"I'm gonna, you wanna pour it ?"
MOT,can you pour it ?
MOT,"look, like this &tchou [x 2] ."
MOT,(o)kay yeah [x 2] oh here let's put it in the middle .
MOT,if you need more you pour it okay ?
MOT,mm: stir it .
CHI,uhoh !
MOT,oh it fell down .
MOT,"here let's move it, okay ?"
CHI,uhoh !
MOT,oh !
CHI,&=laughs ah !
MOT,&=laughs oh she fell down !
MOT,"what about the truck, is the truck hungry ?"
MOT,&=eats the truck needs gas .
CHI,xxx ?
MOT,&=eats yeah nice truck .
MOT,xxx a dump truck .
MOT,"what is the truck gonna carry, a block ?"
MOT,can you pick up another block ?
MOT,and the spoon ?
MOT,what about this spoon ?
MOT,that one too ?
MOT,"where's he gonna bring it, over here ?"
MOT,are you gonna put that in there too ?
MOT,oh it's starting to be a lot in your truck .
MOT,let's see &puh [x 9] .
CHI,uhoh !
MOT,oh no they fell out .
MOT,let's put them in please .
MOT,there .
MOT,okay ready ?
MOT,&doo [x 8] .
CHI,&doo [x 3] .
MOT,"oh dump it out, dump !"
MOT,dump it out &pewch !
MOT,everything out .
MOT,come get more .
MOT,here .
CHI,&eh !
MOT,oh !
MOT,pile it up ?
CHI,&eh 0 !
MOT,&=laughs .
CHI,&dah !
MOT,boom@o it's falling out .
MOT,uhoh I get to sneeze .
MOT,my nose !
MOT,oh you're piling it up !
CHI,&bah .
MOT,boom@o !
MOT,&=sneezes [x 2] .
MOT,&=laughs where did it go ?
MOT,where's the truck ?
MOT,I don't see it .
MOT,xxx ?
MOT,where's the truck ?
MOT,is he picking up blocks ?
CHI,&buoh !
MOT,woah look at the pile there .
MOT,is it gonna fall ?
MOT,it's not falling ?
MOT,oh it fell .
MOT,here can you put this one too ?
MOT,okay ?
CHI,oh !
MOT,oh_my_goodness it fell .
