participant,sentence
MOT,nice .
MOT,oh !
MOT,nice .
MOT,oh &=laughs fell over .
MOT,that's a nice sound .
MOT,"&=laughs &=kisses wanna play, oh !"
MOT,where'd they go ?
CHI,&=laughs .
MOT,wanna build another tower ?
CHI,yeah !
MOT,"okay, xxx ."
CHI,truck [x 2] .
MOT,wanna bring the .
MOT,"wow, the truck is bringing them somewhere ."
MOT,where are they going ?
CHI,go to &soo .
MOT,where ?
CHI,to make &soo .
MOT,to Macso@g ?
MOT,where's Macso@g ?
CHI,Macso@g is in another place !
MOT,"oh, can you get there by car ?"
CHI,no you get there by truck !
MOT,truck .
CHI,xxx .
MOT,"you brought our truck, our, our &-uh blocks !"
MOT,thank_you !
MOT,so now are they gonna build ?
CHI,yeah !
MOT,what are they gonna build ?
MOT,"oh, out ?"
CHI,now yellow &s !
CHI,truck .
CHI,vroom@o [x 3] .
MOT,move this out of the way .
CHI,truck [x 3] .
MOT,wow .
CHI,truck [x 2] .
CHI,now these !
MOT,who's gonna build it ?
CHI,0 .
MOT,these guys ?
MOT,these the builders ?
MOT,yeah .
MOT,xxx the truck xxx .
MOT,so what are they gonna build ?
CHI,I'm gonna build tower !
MOT,ah .
CHI,with Mommy .
MOT,so what do we needta do first ?
MOT,to build the tower ?
CHI,0 .
MOT,nice tower !
MOT,"that was, that's pretty high !"
MOT,could we bake something else go on top ?
MOT,to make it even taller ?
CHI,0 .
MOT,no ?
MOT,this wouldn't work ?
CHI,"no, xxx ."
MOT,&=laughs now what do you wanna do ?
MOT,you wanna have a tea party ?
CHI,mhm !
MOT,mhm !
MOT,do you wanna spoon ?
CHI,0 .
MOT,who are these two ?
CHI,Claire and Zoe !
MOT,you wanna feed them ?
MOT,maybe a little ?
MOT,so we hafta feed them ?
CHI,"she's one and she's a, still a baby ."
MOT,oh &=laughs !
CHI,&=laughs .
MOT,that's okay .
CHI,you broke a &stower !
MOT,wanna build it again ?
MOT,xxx .
MOT,you love the baby .
CHI,no we love the baby .
CHI,Mommy has a hat on !
CHI,&=laughs .
MOT,&=laughs .
MOT,it fits !
MOT,it looks like a little dwarf hat !
CHI,www .
MOT,after okay ?
MOT,what else do you wanna play ?
CHI,you can take off this too .
MOT,yeah ?
MOT,take this off ?
CHI,&=laughs naked !
MOT,&=laughs is she gonna have a bath ?
CHI,yeah !
MOT,where's the bath ?
CHI,right here .
MOT,&=laughs .
CHI,&=laughs .
MOT,must have hurt her head !
CHI,"&=laughs, I'm fine !"
CHI,&=laughs see I told you !
CHI,told ya !
CHI,got a hole in her bum !
MOT,well she hasta pee !
CHI,&=laughs .
MOT,&=laughs .
CHI,xxx this ?
MOT,her bum !
CHI,wait what's this ?
MOT,(be)cause she's chubby .
CHI,&=laughs .
MOT,&=laughs .
CHI,well she's two .
MOT,"you still have chubby, baby, &s fat when you're &lil two ."
CHI,whee !
CHI,let's put them all together .
MOT,all the clothes ?
CHI,all together .
MOT,here you go .
MOT,there's the baby's clothes .
MOT,and the baby's bottle .
CHI,and what's this ?
MOT,hat .
MOT,"oh yeah, arrange it ."
CHI,all done !
CHI,okay &=grunts .
CHI,put her clothes on .
MOT,thank_you .
CHI,and I'll put this clothes on .
MOT,okay .
CHI,you don't need your hat .
CHI,&=sighs .
CHI,can you put that on ?
MOT,yeah you wanna put the shirt on ?
CHI,yeah .
MOT,it's easier .
MOT,what are they gonna do now that they're dressed ?
CHI,they're gonna go to bed .
MOT,"oh, it's nap time ?"
MOT,how does Claire like to go to sleep ?
CHI,by a lullaby .
MOT,"&mm, sing her a lullaby ?"
CHI,&thi this is Zoe (a)n(d) this is Claire .
MOT,mhm .
CHI,"so, you sing her a lullaby, and she'll go to sleep ."
MOT,what about you sing her lullaby ?
CHI,but I'll take her and you take her .
MOT,okay I'll rock her .
MOT,she needs a bottle .
CHI,&=laughs .
MOT,do you wanna feed her bottle ?
MOT,xxx put the dishes away .
MOT,I'm gonna hafta xxx wash them .
MOT,hm: ?
CHI,&=laughs .
MOT,"&=laughs, the phone's for you !"
MOT,you're busy [x 2] .
CHI,okay .
MOT,I'll take the baby .
CHI,it's for you now .
MOT,"&=laughs, can you feed the baby ."
CHI,&=laughs .
MOT,hello ?
CHI,oh she's feeding herself !
MOT,oh there you go !
MOT,"yes, Claire's being fed a bottle then she's going to bed !"
CHI,&=laughs .
MOT,&=laughs see you later !
CHI,it's for you &=laughs .
MOT,&=laughs how do you know ?
MOT,you didn't even say hello ?
CHI,&=laughs hello ?
CHI,it's for you !
MOT,&=laughs hello ?
MOT,oh wrong number !
CHI,&=laughs .
MOT,&=laughs .
CHI,it's wake time and we have my bath !
MOT,again ?
CHI,&=laughs .
MOT,&=laughs .
CHI,yeah xxx .
CHI,xxx get her undressed .
MOT,okay .
CHI,&=laughs .
MOT,here you go .
CHI,&=laughs .
MOT,&=laughs .
CHI,xxx .
MOT,are they able to float ?
CHI,yeah look &=laughs .
MOT,&=laughs careful honey .
CHI,&=laughs have some tea ?
MOT,have some tea while they're in the bath ?
MOT,www .
MOT,there's two more .
MOT,xxx .
