participant,sentence
MOT,one two three [!] oh .
MOT,"one, two, three !"
MOT,haha .
MOT,yeah !
MOT,haha .
MOT,what's that ?
MOT,&=imit:child duck .
MOT,what's his name ?
MOT,&=imit:child duck what does he say quack quack ?
MOT,what does the duck say ?
MOT,do you give him a kiss ?
MOT,mwah@o heehee .
MOT,ah I'll give him one mwah@o nice duckie@f [: duck] .
MOT,very good haha .
MOT,one two three !
MOT,&=imit:child awrrrr@wp .
MOT,one two three yeah !
MOT,haha .
MOT,one .
MOT,one two .
MOT,that's the duckie@f [: duck] what's that is that his +/.
MOT,"nose , yeah what's that ?"
MOT,&=imit:child eye .
MOT,yeah <and teeth> [!] &=imit:biting .
MOT,&=imit:child ahoooo@wp .
MOT,oh oops_a_daisy .
MOT,I got it .
MOT,one two !
MOT,three yeah !
MOT,what does the duck say ?
MOT,quack quack quack quack quack .
MOT,quack quack quack quack quack quack quack .
MOT,quack [x 11] .
MOT,mwah@o [x 3] .
MOT,haha .
MOT,&=imit:child now .
MOT,0will you stack up the blocks again ?
MOT,stack them up again .
MOT,"one [!] no these ones, these ones ."
MOT,no you can only have three .
MOT,one .
MOT,"no no no look these are lovely little ones „ aren't they, they're heavy „ aren't they ?"
MOT,oh haha .
MOT,"can mummy do them, one two oh three [!] and knock them down again pbooo@wp ."
MOT,pbooo@wp .
MOT,one two three !
MOT,haha .
MOT,one two three look .
MOT,now .
MOT,haha .
MOT,knock them down one two .
MOT,yeah .
MOT,quack [x 13] .
MOT,mwah@o [x 6] .
MOT,haha .
MOT,where's your nose ?
MOT,where's duckie's@f [: duck's] nose ?
MOT,nose .
MOT,nose .
MOT,"yeah that's his nose, where's mommy's ?"
MOT,&=imit:sniffing .
MOT,does that go on top of his head ?
MOT,oh no it's gonna fall off uhoh .
MOT,aw haha .
MOT,aw no .
MOT,Rhi_Rhi_Rhi@si my is name is duck .
MOT,my name is Donny_Duck mwah@o .
MOT,one two dshh@wp three !
MOT,oh .
MOT,oh_dear .
MOT,that's a block !
MOT,they don't fit together like Lego „ do they ?
MOT,aw .
MOT,oopsie .
MOT,xxx the magnets .
