participant,sentence
MOT,thr:ee (.) and (.) pop !
MOT,<I'm some popcorn sitting in the pan> [=! singing] .
MOT,<shake me shake me fast as you can> [=! singing] .
MOT,one (.) two (.) three (.) and (..) pop !
MOT,you want hugs ?
MOT,is that what you want ?
MOT,huggy_duggy_dicky_dicky@wp .
MOT,have y(ou) got any tickles today ?
MOT,haha tickle tickle tickle .
MOT,haha tickle tickle tickle .
MOT,ah_bah_bah_bah_bah@p .
MOT,bum_bum@wp .
MOT,bum_bum@wp .
MOT,bum_bum_bum@wp .
MOT,are y(ou) dancin(g) ?
MOT,nnh-nnh-nhh-nhh@p .
MOT,noo-noo-noo-noo-noo@p .
MOT,are y(ou) dancin(g) ?
MOT,whoo !
MOT,hi !
MOT,whoo !
MOT,hi !
MOT,hiya !
MOT,two hands .
MOT,hiya !
MOT,(i)t's kiss +/.
MOT,kisses .
MOT,you do one for me ?
MOT,bop@p !
MOT,(hoo)ray !
MOT,what about this ?
MOT,d(o) y(ou) know how to do kisses ?
MOT,"mm mm mm, delicious ."
MOT,"spotty blouse, very tasty ."
MOT,"ow, ow, ow ."
MOT,does it tickle y(ou) ?
MOT,oh where's Rhi ?
MOT,I can't see +/.
MOT,boo !
MOT,now I see Rhi .
MOT,now I see y(ou) .
MOT,"no, can't find her, can't find her ."
MOT,"ah, wait (un)til I see ."
MOT,ah !
MOT,ah found you !
MOT,ah I found you .
MOT,peep peep peep .
MOT,oh found you !
MOT,ah !
MOT,ah !
MOT,can y(ou) not see +/.
MOT,o:h@i !
MOT,you do it .
MOT,ah !
MOT,&-uh@i !
MOT,"oh, mammy do it ."
MOT,mammy do it .
MOT,oh I see +/.
MOT,"ow, ow, ow ."
MOT,"no, no, no ."
MOT,"no, don't grab mammy's mouth ."
MOT,peep !
MOT,"no, no, no !"
MOT,"no, no ."
