participant,sentence
MOT,clap .
MOT,clap .
MOT,clap clap .
MOT,you do it .
MOT,you do it .
MOT,"clap, clap, clap ."
MOT,ah mama .
MOT,mama .
MOT,mama .
MOT,0will we play Row_Row_The_Boat ?
MOT,<row row row the boat gently down the stream merrily merrily merrily merrily life is but a dream> [=! singing] .
MOT,<row row row the boat gently down the stream merrily merrily merrily merrily life is but a dream> [=! singing] .
MOT,Carr .
MOT,shake the head .
MOT,"shake, shake, shake ."
MOT,"can you say +""/."
MOT,"+"" hi mama ?"
MOT,"+"" hi mama ."
MOT,no you can't .
MOT,"no, no ."
MOT,no ?
MOT,what about nod ?
MOT,will you nod ?
MOT,will you do that ?
MOT,nod your head ?
MOT,no ?
MOT,not yet ?
MOT,"no, shake, shake ."
MOT,"shake, shake, shake ."
MOT,"shake, shake, shake ."
MOT,hehhehheh .
MOT,hee-hee-hee@o .
MOT,hidey@wp boo !
MOT,hidey@wp boo !
MOT,hidey@wp boo !
MOT,hidey@wp boo !
MOT,where are your xxx today ?
MOT,xxx .
MOT,"ooh, ooh ."
MOT,"kiss, kiss ."
MOT,ooh@i .
MOT,oh not in my eyes .
MOT,eyes .
MOT,"haha@i, mama's eyes ."
MOT,stay here .
MOT,stay here with me .
MOT,stay here with me .
MOT,"oh, you've got a frog, look ."
MOT,frog (.) and a flower !
MOT,I think it's a lily .
MOT,it's a water lily .
MOT,hm: ?
MOT,yes ?
MOT,yes ?
MOT,bababa@i .
MOT,ha-ha-ha@i .
MOT,ha-ha-ha@i .
MOT,ha-ha-ha@i .
MOT,shake your head .
MOT,ah ah ah .
MOT,ah ah ah .
MOT,"ah, can you say baba ?"
MOT,bababababab@wp .
MOT,hhmm@i .
MOT,what ?
MOT,you want me to do that ?
MOT,do y(ou) like that ?
MOT,what about this side ?
MOT,what about this ?
MOT,you do it ?
MOT,"okay, okay ."
MOT,this isn't much talking .
MOT,"tickle, tickle, tickle ."
MOT,"tickle, tickle, tickle ."
MOT,"tickle, tickle, tickle ."
MOT,"tickle, tickle, tickle ."
MOT,"tickle, tickle, tickle ."
MOT,eh-hah@p .
MOT,yah@i !
MOT,oh .
MOT,Carr ?
MOT,hello .
MOT,hi there .
MOT,Carr is my baby .
MOT,hello .
MOT,hello .
MOT,what's up ?
MOT,where's your sister ?
MOT,she's in there .
MOT,"Cal, she's +/."
MOT,ouch !
MOT,please don't claw my eyes out .
MOT,ouch !
MOT,hm: ?
MOT,don't claw my eyes out .
MOT,baba@z:m .
MOT,baba@z:m .
MOT,baba@z:m .
MOT,"ah, don't hurt me ."
