participant,sentence
MOT,show me the stuff and I can't get at it „ isn't that right ?
MOT,yes .
MOT,yes !
MOT,<clap handies@f [: hands] clap handies@f [: hands] (un)til daddy comes home with sweets in his pocket for Lar alone> [=! singing] .
MOT,yes !
MOT,ooh !
MOT,ooh yeah !
MOT,ready !
MOT,steady !
MOT,ooh yes !
MOT,can y(ou) do that ?
MOT,yes !
MOT,up here .
MOT,yes !
MOT,good boy !
MOT,aren't y(ou) great ?
MOT,clap handies@f [: hands] clap handies@f [: hands] clap handies@f [: hands] .
MOT,y(eah) !
MOT,(hoo)ray !
MOT,mammy's chain .
MOT,mammy's hair .
MOT,chain .
MOT,y(ou) can't have that .
MOT,y(ou) can't have that .
MOT,that's a +/.
MOT,that's +/.
MOT,ah xxx yes !
MOT,it only goes to there .
MOT,can y(ou) get that ?
MOT,you get it .
MOT,now .
MOT,yes !
MOT,huggie@f [: hug] !
MOT,it's not long enough to go all the way over there .
MOT,I know you wanna put it into your mouth .
MOT,I know [!] you wanna put it into your mouth .
MOT,tck_tck_tck_tck@wp .
MOT,ready ?
MOT,<all around the garden like a teddy_bear one step two step and a tickly@f [: tickle] under there> [=! singing] .
MOT,yeah !
MOT,ready ?
MOT,Lar ?
MOT,ah ma-ma-ma-ma@p .
MOT,dada .
MOT,daddy .
MOT,ah daddy yes !
MOT,dadadadadada@p .
MOT,y(eah) .
MOT,dada daddy yes .
MOT,whoosha .
MOT,oh where's Lar ?
MOT,where's Lar ?
MOT,where's he gone ?
MOT,where is he ?
MOT,there [!] he is .
MOT,yes !
MOT,(wi)ll we do it again ?
MOT,where's Lar ?
MOT,where's he gone ?
MOT,where is he ?
MOT,there [!] he is .
MOT,peekaboo !
MOT,yes !
MOT,(wi)ll we do it again ?
MOT,where's Lar ?
MOT,where's he gone ?
MOT,I can't see him anywhere .
MOT,ah peekaboo !
MOT,there [!] he is .
MOT,(hoo)ray !
MOT,(wi)ll we do it again ?
MOT,you do it .
MOT,yeah you [!] do it .
MOT,where's mammy ?
MOT,ah where's mammy ?
MOT,where's she gone ?
MOT,ah there she is !
MOT,0will we do it again ?
MOT,ah where's mammy ?
MOT,where's she gone ?
MOT,there [!] she is .
MOT,peekaboo yes !
MOT,kiss [x 7] .
MOT,yes yes yes yes yes yes y(eah) .
MOT,whoosha .
MOT,oh what's over there ?
MOT,high+five .
MOT,high+five !
MOT,<this little piggy went to the market this little piggy went home this little piggy had bread and jam this little piggy had none and this little piggy cried weeweewee@o all the way home> [=! singing] .
MOT,y(eah) !
MOT,(hoo)ray !
MOT,bababababa@p .
MOT,pssst@o .
MOT,bababababababa@p .
