participant,sentence
MOT,you're doing the same thing exactly .
MOT,d(o) y(ou) wanna look at the camera ?
MOT,tickle tickle tickle tickle tickle .
MOT,you've got an elephant .
MOT,what else ?
MOT,"you've got, (.) I don't know, a number ."
MOT,and an elephant and (.) 0a girl .
MOT,and 0a flower .
MOT,ah !
MOT,you don't like that way .
MOT,"up, up, oh ."
MOT,not sposta have burp on camera .
MOT,can you say excuse_me ?
MOT,excuse_me .
MOT,can you say excuse_me ?
MOT,hello .
MOT,hello .
MOT,hello .
MOT,"hello, will you talk to me ?"
MOT,"talk to me, talk to me ."
MOT,Carr is a baby .
MOT,we got her for free .
MOT,"<yes we did> [!], we got you for free ."
MOT,two for the price of one .
MOT,is that the very interesting camera ?
MOT,yes it is .
MOT,hi there .
MOT,do you like whistles ?
MOT,what about clapping ?
MOT,"ooh, look at you sitting up ."
MOT,wanna clap ?
MOT,you try .
MOT,"you try, will y(ou) help me ?"
MOT,hi there .
MOT,is that too loud ?
MOT,oh you like it .
MOT,"okay, a little bit o(f) dancing ."
MOT,dancing .
MOT,dancing .
MOT,"ooh, <look at you> [!], sitting up all by yourself, careful !"
MOT,careful .
MOT,careful .
MOT,careful .
MOT,mind your little self .
MOT,got you anythin(g) to say this morning ?
MOT,are y(ou) hungry ?
MOT,again ?
MOT,for a change ?
MOT,oh oh oh ack_ack@wp .
MOT,what about little Carr's talking song ?
MOT,alalala@si .
MOT,agh_agh_agh_ga_ga_ga@si .
MOT,that's what you say .
MOT,it's really nice .
MOT,will you sing it for me ?
MOT,will you sing a little song ?
MOT,aga_aga_aa_aga_aga_aa@si .
MOT,agh_agh_agh_ga_ga_ga@si .
MOT,that's what you say .
MOT,you sing it in the car !
MOT,don't y(ou) ?
MOT,will y(ou) sing your little song ?
MOT,are y(ou) goin(g) to talk to me ?
MOT,are y(ou) goin(g) to talk to me ?
MOT,"oh_dear, oh_dear, you okay ?"
MOT,bless_you .
MOT,maybe we'll just look this way .
MOT,where did she go ?
MOT,where did Carr go ?
MOT,where did she go ?
MOT,she's in the kitchen !
MOT,she's in the kitchen .
MOT,are y(ou) eating your hand ?
MOT,(be)cause you've got sore little teeth ?
MOT,sore little teeth .
MOT,hey hey hey .
MOT,will we dry your little hands ?
MOT,"look, let's dry them ."
MOT,now .
MOT,how (a)bout some jumps ?
MOT,whoo .
MOT,whoo .
MOT,how (a)bout that ?
MOT,ah whoo .
MOT,"oh no, no, sorry, just a little [!] bit longer, a little tiny tiny tiny bit longer ."
MOT,tiny bit longer .
MOT,look .
MOT,"I think you're just ready for the camera, aren't y(ou) ?"
MOT,are y(ou) waiting for your close+up ?
MOT,"I'm ready for my close+up, Mister_DeMille ."
MOT,can you see the camera ?
MOT,can you see that big camera ?
MOT,is it very interesting ?
MOT,is it interesting ?
MOT,now .
MOT,now .
MOT,you're just not going to say anything .
MOT,here .
MOT,here .
MOT,"we dry your face, look ."
MOT,how about (.) animal [!] noises .
MOT,baaaa@o .
MOT,what d(o) y(ou) think of that ?
MOT,baaaa@o .
