participant,sentence
MOT,kiss mwah@o where's my kisses ?
MOT,oh you hafta sit down .
MOT,will we do your straps ?
MOT,this one .
MOT,<and then> [!] this one .
MOT,and then tickle [x 5] .
MOT,"oh where is it, oh where is it ?"
MOT,there it is !
MOT,"this one, one, and then this one two !"
MOT,yes .
MOT,do you wanna do some singing ?
MOT,which one will we do ?
MOT,will we do If_All_The_Raindrops_Were_Lemondrops_And_Gumdrops ?
MOT,"okay, 0will we do our other one ?"
MOT,how does our other one start ?
MOT,gonna sing ?
MOT,yes ?
MOT,"&-um how do we start it, what's the first line ?"
MOT,"hm:, well, you know it ."
MOT,oh xxx .
MOT,where's mummy's teeth ?
MOT,the camera !
MOT,say hi camera !
MOT,hi !
MOT,that's right .
MOT,"and one, two ."
MOT,going to count them ?
MOT,one two [!] haha yes .
MOT,are you not going to do +/.
MOT,will we do &-um Twinkle_Twinkle ?
MOT,okay .
MOT,are you ready ?
MOT,<twinkle twinkle little star how I wonder what you are up above the stars so high like a diamond in the sky twinkle twinkle little star how I wonder what you are> [=! singing] .
MOT,yay !
MOT,phew !
MOT,ah where is it ?
MOT,"that's your little finger, take those fingers out of there !"
MOT,take those fingers out of your mouth .
MOT,aw: they're all wet now .
MOT,will we dry them ?
MOT,ah got them .
MOT,ah got them .
MOT,"one, two ."
MOT,say cheese !
MOT,cheese !
MOT,yes .
MOT,"haha, oh cheese !"
MOT,"mwah@o give me a kiss mwah@o, mwah@o ."
MOT,my kisses .
MOT,where's mammy's kisses ?
MOT,I do know .
MOT,that you're gettin(g) toys .
MOT,"here, eye ."
MOT,now !
MOT,all done .
MOT,<if you're happy and you know it clap your hands clap clap> [=! singing] .
MOT,<if you're happy and you know it clap your hands clap clap if you're happy and you know it> [=! singing] .
MOT,oh take those fingers out of that mouth .
MOT,what are those handies@f [: hands] doing in that mouth ?
MOT,oh there's another one .
MOT,ah that's a finger in your mouth ah dsk-dsk-dsk-dsk@wp .
MOT,<another> [!] finger in your mouth oh my_word .
MOT,ah grubble@n gobble gobble gobble gobble .
MOT,xxx .
MOT,oh ah my_wordy@f [: my_word] .
MOT,&mm mwah@o in my mouth .
MOT,you ready to do the pop ?
MOT,pop .
MOT,pop pop pop .
MOT,"pop, pop ."
MOT,pop .
MOT,will we do pop ?
MOT,pop pop haha .
MOT,pop .
MOT,"one, two [!] and where's the rest ?"
MOT,we don't know .
MOT,they're not here .
MOT,excuse_me .
MOT,thank_you .
MOT,they're not here .
MOT,do you say not here .
MOT,all gone .
MOT,we hafta brush your hair .
MOT,your <hair> [!] yes .
