participant,sentence
MOT,Ron is good .
MOT,yeah .
MOT,it's not nice .
MOT,0it 0is not nice .
MOT,where's Ron ?
MOT,hello .
MOT,hello .
MOT,hello .
MOT,can you see the moo-moos@f [: cows] .
MOT,can you see the moo-moos@f [: cows] .
MOT,"yeah, moo-moos@f [: cows] ."
MOT,baba .
MOT,where's the baba ?
MOT,"yeah, try and get it all in, it's hard „ isn't it ?"
MOT,baba .
MOT,baba .
MOT,"oh, get your keys ."
MOT,beep beep .
MOT,beep beep .
MOT,"oops, you hafta hold those yourself (be)cause I hafta hold you ."
MOT,now .
MOT,ah now .
MOT,two_two_two@wp .
MOT,two_two_two@wp .
MOT,two_two_two@wp .
MOT,two_two_two@wp .
MOT,show me where the moo+cow is .
MOT,where's the moo+cow ?
MOT,where's the pussy+cat ?
MOT,where's the pussy+cat ?
MOT,boo boo boo .
MOT,where's the pussy+cat ?
MOT,purr purr purr .
MOT,where's the pussy+cat ?
MOT,two_two_two@wp .
MOT,where's the pussy+cat ?
MOT,where's Ron ?
MOT,hide .
MOT,where's Ron ?
MOT,hide .
MOT,hide .
MOT,hide .
MOT,"huh, hide ."
MOT,hide .
MOT,baba .
MOT,where's the baba ?
MOT,bababa@p .
MOT,bababa@p .
MOT,ba@p .
MOT,babababababababababa@p .
MOT,dodododododododo@p .
MOT,dododododododododododo@p .
MOT,dodododododododo@p .
MOT,now who's that ?
MOT,who's that ?
MOT,who's that ?
MOT,who is it ?
MOT,who is it ?
MOT,who is it ?
MOT,ah what are we doing ?
MOT,who's dribbling ?
MOT,who's dribbling on their clothes ?
MOT,who's dribbling ?
MOT,show mama .
MOT,"oops_a_daisy, oops_a_daisy ."
MOT,"now, look ."
MOT,there now .
MOT,"oops, where are y(ou) going ?"
MOT,what ?
MOT,what do you see ?
MOT,what do you see ?
MOT,"shh, shh, shh ."
MOT,oh !
MOT,oh !
MOT,oh !
MOT,oh !
MOT,where's mama ?
MOT,where's baba ?
MOT,"look, look at the xxx ."
MOT,tchu-tchu-tchu-tchu-tchu@o .
MOT,now .
MOT,now .
MOT,bababababum_baba@wp .
MOT,what do you see ?
MOT,what do you wanna grab now ?
MOT,what do you wanna grab oops !
MOT,baba .
MOT,Ron ?
MOT,Ron ?
MOT,where's Ron ?
MOT,Ron ?
MOT,where's Ron ?
MOT,beep beep beep beep .
MOT,tchoo-tchoo-tchoo-tchoo-tchoo-tchoo-tchoo-tchoo-tchoo-tch-tch-tch-tch-tch@o .
MOT,huh-tchoo-tchoo-tchoo-tchoo-tchoo-tchoo-tchoo@o .
MOT,oh ooh .
MOT,baba .
MOT,buch_wuch_woo@wp .
MOT,look .
MOT,stand up .
MOT,"look, stand up ."
MOT,"I don't wanna, mammy ."
MOT,I don't wanna .
MOT,now .
MOT,xxx .
MOT,now .
MOT,"one, two ."
MOT,"y(ou) can't eat that, baba ."
MOT,no .
MOT,no .
MOT,no .
MOT,look .
MOT,look [x 7] .
MOT,tchoo-tchoo@o .
MOT,look at your toe_toes@f [: toes] .
MOT,who's got nice toe_toes@f [: toes] ?
MOT,who's got nice toe_toes@f [: toes] ?
MOT,yeah .
MOT,what's happening ?
MOT,"what's happening, Ron ?"
MOT,what ?
MOT,what can you see ?
MOT,oh .
MOT,look at all the rain .
MOT,look at all the water .
MOT,0can 0you see all the rain ?
