participant,sentence
MOT,like music ?
MOT,will you blow bubbles for me ?
MOT,dah@p !
MOT,&-uh !
MOT,o:h .
MOT,o:h big yawn .
MOT,yeah ?
MOT,hey .
MOT,hey .
MOT,the oven's on .
MOT,you're right .
MOT,you hear something .
MOT,what's up there ?
MOT,I'm cookin(g) .
MOT,I'm cookin(g) the dinner .
MOT,dinner .
MOT,"yeah, dinner !"
MOT,dinner .
MOT,is that the magic word ?
MOT,"hm:, dinner ."
MOT,"we'll have it later, we will !"
MOT,"there's our drawers, look, ah, whee !"
MOT,and more toys .
MOT,all your toys ?
MOT,all your toys .
MOT,you push ?
MOT,will we play some music ?
MOT,good boy .
MOT,"I'm going to, yes, play the piano ."
MOT,are you going to help me ?
MOT,are you going to +/.
MOT,"oh, a quick bite ."
MOT,"now, mummy's finger ."
MOT,yum yum yum .
MOT,hm: .
MOT,hm: nice fingers .
MOT,grrrr@p .
MOT,ahrrrr@i .
MOT,ahrrrr@i .
MOT,that's my big finger .
MOT,that's probably not as nice as my little [!] finger .
MOT,hm: ?
MOT,now !
MOT,0will we give you the little one ?
MOT,here .
MOT,go on yum [x 6] .
MOT,who said that ?
MOT,who said that ?
MOT,do you hear the music ?
MOT,ah bite mammy's finger .
MOT,nmnm-nmnm-nmnm-nmmm-nmmm-nmnm-nmmm@p .
MOT,what ?
MOT,oh you want my finger again ?
MOT,yum yum 0is that nice ?
MOT,is that nice ?
MOT,good boy yummy .
MOT,hm: .
MOT,what ?
MOT,oh what ?
MOT,whee !
MOT,there_you_go .
MOT,there_you_go .
MOT,have a good lick of it .
MOT,"now, now ."
MOT,you just fell down .
MOT,we just did a tumble .
MOT,we just did a tumble .
MOT,I [!] will .
MOT,oh .
MOT,yeah .
MOT,oh you tell me .
MOT,yeah !
MOT,ah_blah_blah_blah@p .
MOT,ah_blah@p .
MOT,ah_bwah@p .
MOT,kick kick kick .
MOT,are y(ou) doin(g) lots_o(f) kicks ?
MOT,kick [x 7] !
MOT,kick !
MOT,are you kicking ?
MOT,and making music ?
MOT,bombombabombombom@wp .
