participant,sentence
MOT,goose .
MOT,(wi)ll we put it on this [!] foot ?
MOT,ta-ta@f .
MOT,silly silly silly .
MOT,now will y(ou) clap handies@f [: hands] ?
MOT,(hoo)ray !
MOT,"no, y(ou) wanna take them off ."
MOT,are y(ou) takin(g) them off ?
MOT,what are we gonna do about shoes [!] Mister .
MOT,you're never gonna wear shoes .
MOT,thank_you .
MOT,did it not come off ?
MOT,good [!] boy .
MOT,"twinkle, twinkle little star how I wonder what you are !"
MOT,(hoo)ray !
MOT,oh you want them back ?
MOT,no ?
MOT,will y(ou) clap handies@f [: hands] ?
MOT,(hoo)ray !
MOT,boo !
MOT,boo !
MOT,boo !
MOT,boo !
MOT,you do it .
MOT,Ard do it .
MOT,you do it .
MOT,boo !
MOT,do it to mammy .
MOT,boo !
MOT,can you do it ?
MOT,come_on Ard .
MOT,boo !
MOT,boo !
MOT,(hoo)ray !
MOT,boo !
MOT,haha .
MOT,clap handies@f [: hands] .
MOT,can you clap handies@f [: hands] ?
MOT,no ?
MOT,<if you're happy and y(ou) know it clap your hands> [=! singing] .
MOT,<if you're happy and y(ou) know it clap your hands> [=! singing] .
MOT,<if you're happy and y(ou) know it and you really wanna show it> [=! singing] .
MOT,<if you're happy and y(ou) know it clap your hands> [=! singing] .
MOT,clap clap .
MOT,<if you're happy and y(ou) know it stamp your feet> [=! singing] .
MOT,<if you're happy and y(ou) know it stamp your feet> [=! singing] .
MOT,<if you're happy and y(ou) know it and you really wanna show it> [=! singing] .
MOT,<if you're happy and y(ou) know it stamp your feet> [=! singing] .
MOT,clkclk@wp .
MOT,ah boo !
MOT,have y(ou) tickles ?
MOT,&ee: tickle lickle@n lickle@n .
MOT,&ee: tickle lickle@n lickle@n .
MOT,0we do it again ?
MOT,&ee: tickle lickle@n lickle@n .
MOT,&ee: tickle lickle@n lickle@n .
MOT,clap handies@f [: hands] .
MOT,clap handies@f [: hands] .
MOT,oh what ?
MOT,what ?
MOT,what ?
MOT,ah boo !
MOT,come back to me .
MOT,ah boo !
MOT,"look, look ."
MOT,<twinkle twinkle little star how I wonder what you are> [=! singing] .
MOT,<twinkle twinkle little star how I wonder what you are> [=! singing] .
MOT,can you do it ?
MOT,"look, do twinkle ."
MOT,"look, Ard do it ."
MOT,"twinkle, twinkle little star ."
MOT,wave your handies@f [: hands] .
MOT,"wave them, diddlydiddlydee@wp ."
MOT,come [!] on .
MOT,do them .
MOT,diddlydiddlydee@wp .
MOT,<twinkle twinkle little star how I wonder what you are> [=! singing] .
MOT,diddlydiddly@wp .
MOT,can you do it ?
MOT,<twinkle twinkle little star how I wonder what you are> [=! singing] .
MOT,hah !
MOT,"look, look ."
MOT,"oh, what are they ?"
MOT,are y(ou) puttin(g) them on ?
MOT,"here, hold it ."
MOT,hold the glasses .
MOT,do y(ou) wanna put them on ?
MOT,put them on Ard .
MOT,nice .
MOT,are they nice ?
