participant,sentence
MOT,<little star how I wonder what you are> [=! singing] .
MOT,yeah !
MOT,"that's good, very good Rube ."
MOT,0do you know what the little duck says ?
MOT,oh you threw them away !
MOT,&=imit:child o:h .
MOT,&=imit:duck quack quack quack quack quack quack quack@si .
MOT,"he's singing, he's singing ."
MOT,"oh, he's gone, now he's gone, all gone !"
MOT,all gone !
MOT,"here you hold that one and I'll pick up another for you, look will we do it together ?"
MOT,"now, 0will we do it together ?"
MOT,ready ?
MOT,yeah !
MOT,"it's fun, isn't it ?"
MOT,"oh no, if you throw them away we can't make the noise ."
MOT,you do it .
MOT,"ah Rube, Rube !"
MOT,"haha Rube, haha ."
MOT,uhoh is right .
MOT,uhoh uhoh you threw it on the floor uhoh .
MOT,what about the duck then ?
MOT,&=imit:duck quack [x 14] .
MOT,uhoh .
MOT,now they're all gone !
MOT,&=imit:child quack quack quack quack quack .
MOT,&=imit:child quack quack quack .
MOT,that's what the duck says .
MOT,that's what the duck says but he doesn't say it when you throw him on the floor .
MOT,&=imit:child dah_dah_dah@wp .
MOT,<baa baa black sheep have you any wool yes sir yes sir three bags full one for the master and one for the dame and one for the little boy who lives down the lane> [=! singing] .
MOT,yay !
MOT,can you sing it ?
MOT,will 0we sing Twinkle_Twinkle ?
MOT,<twinkle twinkle little star how I wonder what you are up above the world so high like a diamond in the sky twinkle twinkle little star how I wonder what you are> [=! singing] .
MOT,yeah !
MOT,can you sing ?
MOT,do you say +/.
MOT,"do you say, no not out, <I'm a single baby I'm a single baby I'm a single baby I'm a single baby now put your hands up uhohuhohohoh@si> [=! singing] ."
MOT,yeah !
MOT,is that your favorite song ?
MOT,not out .
MOT,where's the duck ?
MOT,Rube where did you put the duck ?
MOT,"yes you're right, you put it over there „ didn't you ?"
MOT,now will I get it back for you ?
MOT,&=imit:duck quack quack quack quack .
MOT,oh sneeze .
MOT,achoo .
MOT,&=imit:duck quack [x 8] .
MOT,is that what he says ?
MOT,&=imit:duck quack [x 6] .
MOT,he didn't like that „ did he ?
MOT,he didn't like that .
MOT,he went quack quack quack quack quack .
MOT,"where did you put him, where's the duck, where is the duck Rube ?"
MOT,where is he ?
MOT,over there ?
MOT,over there ?
MOT,"oh you're right, he's over there ."
MOT,"look, look at the duck and the block, child bangs toys together ."
MOT,yeah !
MOT,"now listen to this noise, this is different, look ."
MOT,"yeah, try that one ."
MOT,hey !
MOT,what are you doing ?
MOT,mwah_mwah_mwah_mwah@o .
MOT,oh .
MOT,"are you putting your arms back in, that's very clever ."
MOT,you're very clever .
MOT,"yeah, do you need a bit of a hand, look ?"
MOT,do you need some help ?
MOT,"do you need some help, look ?"
MOT,there_you_go !
MOT,say help .
MOT,"help, help ."
MOT,"ah that's a girl, that's a good girl ."
MOT,you're so clever .
MOT,so clever !
MOT,you're taking your arms out again .
MOT,good girl .
MOT,oh dohdohdohdohdohdoh@wp .
MOT,"Rube, where's your nose ?"
MOT,"nose [!], but where is it ?"
MOT,"will we do your nose trick, look, look ."
MOT,haha .
MOT,0will we do it again ?
