participant,sentence
MOT,tck-tck-tck-tck-tck-tck@o .
MOT,ah 0we do this one ?
MOT,take that key out of your mouth .
MOT,yuck !
MOT,yuck !
MOT,"ah don't, y(ou) know it's dirty ."
MOT,ah the dirty key .
MOT,yeah it's a dirty key .
MOT,it is .
MOT,oh no no no dirty .
MOT,ah it's dirty .
MOT,it's dirty .
MOT,oh no it's dirty .
MOT,oh !
MOT,ah !
MOT,ah !
MOT,oh !
MOT,look !
MOT,look at this .
MOT,that's a better part .
MOT,oh yeah !
MOT,good girl !
MOT,no .
MOT,no !
MOT,no way !
MOT,no way !
MOT,ah !
MOT,ah !
MOT,not allowed .
MOT,not allowed .
MOT,not allowed .
MOT,doo_doo_doo_doo_doo_ah@wp .
MOT,"0will we do this, look ?"
MOT,<round and round the gar:den like a teddy_bear one step two steps and I tickle you under there> [=! singing] .
MOT,ah !
MOT,not allowed .
MOT,ah !
MOT,ah !
MOT,ah ah ah ah !
MOT,oh naughty .
MOT,no no no .
MOT,very naughty .
MOT,abababababdaddadadaba@wp .
MOT,abababadadabadabada@wp .
MOT,nosie@f [: nose] [x 3] .
MOT,chinnie@f [: chin] [x 3] .
MOT,uhoh .
MOT,uhoh .
MOT,look at this .
MOT,hey .
MOT,that's nice „ isn't it ?
MOT,yummy .
MOT,is that yummy „ is it ?
MOT,is that yummy yummy yummy in your tummy tummy tummy ?
MOT,is that yummy yummy yummy in your tummy tummy tummy ?
MOT,oh uhoh .
MOT,oh .
MOT,ye:(ah) .
MOT,say Neela ?
MOT,where's Neela ?
MOT,where's Neela ?
MOT,is she gone ?
MOT,is she gone ?
MOT,yeah .
MOT,where's James ?
MOT,where's James ?
MOT,whoo !
MOT,whoo !
MOT,ah yeah .
MOT,where's James ?
MOT,where's James ?
MOT,a_dub_a_dub_a_dub@wp .
MOT,a_dub_a_dub_a_dub_a_dub_a_dub_a_dub_a_dub_a_doo@wp .
MOT,a_doo@wp !
MOT,ah yuck !
MOT,hahaha@i !
MOT,oh !
MOT,oh big girl .
MOT,who's a big girl ?
MOT,oh !
MOT,is that lovely ?
MOT,oh yeah .
MOT,it's gorgeous .
MOT,is it gorgeous .
MOT,xxx yeah .
MOT,are you ready ?
MOT,tick_tick_tick_tee@wp .
MOT,0will we do this one ?
MOT,too_too_too_too_too_tee@wp .
MOT,too_too_too_too_too_tee@wp .
MOT,ah .
MOT,ah .
MOT,what ?
MOT,oh_my_goodness .
MOT,oh_my_goodness .
MOT,what's wrong ?
MOT,what's wrong ?
MOT,baba oh !
MOT,"no, don't give out, don't give out, now ."
MOT,yucky yucky .
MOT,ah yucky yucky .
MOT,"yeah it's disgusting, blech@i ."
MOT,bah .
MOT,bah .
MOT,yeah it's disgusting .
