participant,sentence
MOT,ah stop !
MOT,stop !
MOT,not [!] nice behavior .
MOT,ta-ta@f to mammy .
MOT,ta-ta@f to mammy .
MOT,ta-ta@f [!] to mammy !
MOT,yes !
MOT,ta-ta@f to mammy .
MOT,ta-ta@f .
MOT,"oh yeah, thanks, that's a lovely one ."
MOT,yuck !
MOT,"yuck, that was in your mouth already ."
MOT,that's disgusting .
MOT,give me a clean one .
MOT,give me a clean one .
MOT,ta-ta@f .
MOT,ta-ta@f .
MOT,ta-ta@f .
MOT,"yummy, ta-ta@f ."
MOT,"that's two, that's two, give me another one ."
MOT,"okay, you have that one then ."
MOT,this ?
MOT,good girl !
MOT,0is that nice ?
MOT,mm: .
MOT,"mm:, yummy ?"
MOT,yeah ?
MOT,yucky ?
MOT,yummy ?
MOT,ta-ta@f .
MOT,0is that nice ?
MOT,oh yuck !
MOT,what (a)re y(ou) doing ?
MOT,(tha)t's dirty !
MOT,hm: .
MOT,"yeah, thank_you ."
MOT,ta-ta@f .
MOT,"uhuh, uhoh ."
MOT,ta-ta@f .
MOT,thank_you .
MOT,ta-ta@f .
MOT,thank_you .
MOT,"hm:, put it in my mouth ."
MOT,ah .
MOT,0is that a nice noise ?
MOT,(ca)n you do that ?
MOT,can you do this ?
MOT,can you do [!] that ?
MOT,thank [!] you .
MOT,thank_you .
MOT,uhoh .
MOT,ta-ta@f .
MOT,oh where's it gone ?
MOT,"hm:, uhoh ."
MOT,"uhoh, there we go ."
MOT,ta-ta@f .
MOT,"what are y(ou) doin(g), huh ?"
MOT,"stop spittin(g) them out, that's disgusting ."
MOT,"here, ta-ta@f, ta-ta@f ."
MOT,"here, look ."
MOT,good girl .
MOT,ah god_bless_you .
MOT,will we go again ?
MOT,0will we do Round_And_Round_The_Garden ?
MOT,"do round and round the garden, com(e) (o)n ."
