participant,sentence
MOT,"now, come_on ."
MOT,will we do something ?
MOT,what d(o) y(ou) wanna do ?
MOT,what d(o) y(ou) wanna do ?
MOT,Row_Row ?
MOT,row row r:ow .
MOT,oh where's Eri gone ?
MOT,you're okay .
MOT,you're okay .
MOT,where's Eri ?
MOT,where's Eri gone ?
MOT,ah ah .
MOT,ah ah you little monkey .
MOT,"no, not allowed ."
MOT,yuck !
MOT,yuck !
MOT,will y(ou) clap your hands for me ?
MOT,"yeah, will you clap your hands for mammy ?"
MOT,no ?
MOT,you don't wanna do anything ?
MOT,"shh, no, no, no, sit down, good girl ."
MOT,"no, no, ow, ow , no, no, no, no, no ."
MOT,"come here, we put these on ."
MOT,now you can't get out !
MOT,no .
MOT,<row row row your boat gently down the stream merrily merrily merrily merrily life is but a dream> [=! singing] .
MOT,Eri ?
MOT,<rock rock rock your boat gently down the stream if you see a crocodile> [=! singing] +...
MOT,a:h !
MOT,good girl !
MOT,(wi)ll we do it again ?
MOT,one two three ?
MOT,(a)re y(ou) ready ?
MOT,<row row row your boat gently down the stream merrily merrily merrily merrily life is but a dream> [=! singing] .
MOT,<rock rock rock your boat gently down the stream if you see a crocodile> [=! singing] +...
MOT,good girl !
MOT,0will we do it again ?
MOT,<row row row your boat gently down the stream merrily merrily merrily merrily life is but a dream rock rock rock your boat gently down the stream if you see a crocodile> [=! singing] +...
MOT,"good girl, scream ."
MOT,0will we do clap handies clap handies (un)til daddy comes home ?
MOT,<clap handies@f [: hands] clap handies@f [: hands] (un)til daddy comes home with sweets in his pocket for Eri alone and none for naughty James> [=! singing] .
MOT,ye:ah !
MOT,<clap handies@f [: hands] clap handies@f [: hands] (un)til daddy comes home with sweets in his pocket for James alone and none for naughty Mia> [=! singing] .
MOT,Eri ?
MOT,oh no no no .
MOT,it's okay .
