participant,sentence
MOT,would you like some juice ?
MOT,"here, look what I have for you ."
MOT,"yes, you'd like some juice ."
MOT,oh good boy !
MOT,0is that nice ?
MOT,huh ?
MOT,is that nice ?
MOT,would you like some more ?
MOT,you're not sposta be lookin(g) all around you .
MOT,sposta be looking at me .
MOT,now !
MOT,0do 0you want this ?
MOT,okay .
MOT,what'll we do ?
MOT,what would you like to do ?
MOT,would you like to play with mummy's purse ?
MOT,oh !
MOT,oh !
MOT,who's that baba ?
MOT,who's that baba ?
MOT,who's that baba ?
MOT,who's that baba ?
MOT,is that Bre ?
MOT,hm: ?
MOT,what have y(ou) got ?
MOT,hm: ?
MOT,0are you bein(g) nosy ?
MOT,what's in there ?
MOT,look !
MOT,oh what d(o) y(ou) did you see ?
MOT,hm: ?
MOT,"are y(ou) going to take mammy's money, are y(ou) ?"
MOT,d(o) y(ou) want your juice ?
MOT,hm: ?
MOT,here_you_go .
MOT,0do you want some more ?
MOT,ta-ta@f mama .
MOT,good boy .
MOT,good good boy .
MOT,are you thirsty ?
MOT,"mm:, you are [!] thirsty „ aren't you ?"
MOT,is that nice ?
MOT,oh .
MOT,what've we got here ?
MOT,it's a dodi .
MOT,oh .
MOT,have you anything to tell me ?
MOT,have you anything to tell me ?
MOT,who said that to y(ou) ?
MOT,<who> [!] said that to you ?
MOT,did y(ou) ever tell me that ?
MOT,yeah .
MOT,oh .
MOT,there's a mama's baba !
MOT,there's a mama's baba !
MOT,is that Bre ?
MOT,"yes, that's Bre ."
MOT,ba:ba .
MOT,ba:ba .
MOT,say dadadada@wp .
MOT,what (a)re y(ou) looking at ?
MOT,you're sposta be looking this way .
MOT,you're sposta be looking this way .
MOT,"yes, you're sposta be looking at me ."
MOT,huh ?
MOT,where are you ?
MOT,are you in Trinity ?
MOT,hm: ?
MOT,would you like to come back here when you're a big boy ?
MOT,oh whoosha .
MOT,oh whoosha .
MOT,xxx .
MOT,hm: ?
MOT,"aw, 0are you throwin(g) them all on the floor, is this the game ?"
MOT,"oh, excuse you ."
MOT,ex:cuse you .
MOT,what's this ?
MOT,what do y(ou) see ?
MOT,huh .
MOT,whoosha .
MOT,ah dadada@wp .
MOT,will I get mammy's phone for y(ou) ?
MOT,d(o) y(ou) wanna play with mammy's phone ?
MOT,"here, look ."
MOT,look !
MOT,"no, d(o) y(ou) want your juice ?"
MOT,0do 0you want something to drink ?
MOT,hey .
MOT,hey .
MOT,what's that ?
MOT,who's that ?
MOT,press the buttons .
MOT,press the buttons ?
MOT,lemme see .
MOT,huh .
MOT,what (doe)s that say ?
MOT,say hello daddy !
MOT,say hi daddy .
MOT,hi daddy .
MOT,hi daddy .
MOT,kiuh@i .
MOT,khihihiuh@i .
MOT,what've you got ?
MOT,say hello daddy !
MOT,hi daddy .
MOT,hi daddy .
MOT,say hello ?
MOT,hello ?
MOT,hi daddy .
MOT,"look, here, look, there's the picture, who's that baba ?"
MOT,who's that ?
MOT,that's Bre .
MOT,say hello Bre .
MOT,say hello Bre !
MOT,hello Bre .
MOT,huh !
MOT,what's that noise ?
MOT,oh !
MOT,what do y(ou) see ?
MOT,can you hear some noise ?
MOT,can you hear the noise upstairs ?
MOT,oh .
MOT,dak_dak_dak_dak_dak@wp .
MOT,can you do that ?
MOT,hm: ?
MOT,xxx .
MOT,huh !
MOT,mama's phone !
MOT,0do 0you want some ?
MOT,turn around .
MOT,you'll hafta turn around .
MOT,here_you_go .
